team,season,game_num,date,result,coach
alabama,2000,1,2000-09-02,L,Mike DuBose
alabama,2000,2,2000-09-09,W,Mike DuBose
alabama,2000,3,2000-09-16,L,Mike DuBose
alabama,2000,4,2000-09-23,L,Mike DuBose
alabama,2000,5,2000-09-30,W,Mike DuBose
alabama,2000,6,2000-10-14,W,Mike DuBose
alabama,2000,7,2000-10-21,L,Mike DuBose
alabama,2000,8,2000-10-28,L,Mike DuBose
alabama,2000,9,2000-11-04,L,Mike DuBose
alabama,2000,10,2000-11-11,L,Mike DuBose
alabama,2000,11,2000-11-18,L,Mike DuBose
alabama,2001,1,2001-09-01,L,Dennis Franchione
alabama,2001,2,2001-09-08,W,Dennis Franchione
alabama,2001,3,2001-09-22,W,Dennis Franchione
alabama,2001,4,2001-09-29,L,Dennis Franchione
alabama,2001,5,2001-10-06,W,Dennis Franchione
alabama,2001,6,2001-10-13,L,Dennis Franchione
alabama,2001,7,2001-10-20,L,Dennis Franchione
alabama,2001,8,2001-11-03,L,Dennis Franchione
alabama,2001,9,2001-11-10,W,Dennis Franchione
alabama,2001,10,2001-11-17,W,Dennis Franchione
alabama,2001,11,2001-11-29,W,Dennis Franchione
alabama,2002,1,2002-08-31,W,Dennis Franchione
alabama,2002,2,2002-09-07,L,Dennis Franchione
alabama,2002,3,2002-09-14,W,Dennis Franchione
alabama,2002,4,2002-09-21,W,Dennis Franchione
alabama,2002,5,2002-09-28,W,Dennis Franchione
alabama,2002,6,2002-10-05,L,Dennis Franchione
alabama,2002,7,2002-10-19,W,Dennis Franchione
alabama,2002,8,2002-10-26,W,Dennis Franchione
alabama,2002,9,2002-11-02,W,Dennis Franchione
alabama,2002,10,2002-11-09,W,Dennis Franchione
alabama,2002,11,2002-11-16,W,Dennis Franchione
alabama,2002,12,2002-11-23,L,Dennis Franchione
alabama,2002,13,2002-11-30,W,Dennis Franchione
alabama,2003,1,2003-08-30,W,Mike Shula
alabama,2003,2,2003-09-06,L,Mike Shula
alabama,2003,3,2003-09-13,W,Mike Shula
alabama,2003,4,2003-09-20,L,Mike Shula
alabama,2003,5,2003-09-27,L,Mike Shula
alabama,2003,6,2003-10-04,L,Mike Shula
alabama,2003,7,2003-10-11,W,Mike Shula
alabama,2003,8,2003-10-18,L,Mike Shula
alabama,2003,9,2003-10-25,L,Mike Shula
alabama,2003,10,2003-11-08,W,Mike Shula
alabama,2003,11,2003-11-15,L,Mike Shula
alabama,2003,12,2003-11-22,L,Mike Shula
alabama,2003,13,2003-11-29,L,Mike Shula
alabama,2004,1,2004-09-04,W,Mike Shula
alabama,2004,2,2004-09-11,W,Mike Shula
alabama,2004,3,2004-09-18,W,Mike Shula
alabama,2004,4,2004-09-25,L,Mike Shula
alabama,2004,5,2004-10-02,L,Mike Shula
alabama,2004,6,2004-10-09,W,Mike Shula
alabama,2004,7,2004-10-16,W,Mike Shula
alabama,2004,8,2004-10-23,L,Mike Shula
alabama,2004,9,2004-11-06,W,Mike Shula
alabama,2004,10,2004-11-13,L,Mike Shula
alabama,2004,11,2004-11-20,L,Mike Shula
alabama,2004,12,2004-12-31,L,Mike Shula
alabama,2005,1,2005-09-03,W,Mike Shula
alabama,2005,2,2005-09-10,W,Mike Shula
alabama,2005,3,2005-09-17,W,Mike Shula
alabama,2005,4,2005-09-24,W,Mike Shula
alabama,2005,5,2005-10-01,W,Mike Shula
alabama,2005,6,2005-10-15,W,Mike Shula
alabama,2005,7,2005-10-22,W,Mike Shula
alabama,2005,8,2005-10-29,W,Mike Shula
alabama,2005,9,2005-11-05,W,Mike Shula
alabama,2005,10,2005-11-12,L,Mike Shula
alabama,2005,11,2005-11-19,L,Mike Shula
alabama,2005,12,2006-01-02,W,Mike Shula
alabama,2006,1,2006-09-02,W,Mike Shula
alabama,2006,2,2006-09-09,W,Mike Shula
alabama,2006,3,2006-09-16,W,Mike Shula
alabama,2006,4,2006-09-23,L,Mike Shula
alabama,2006,5,2006-09-30,L,Mike Shula
alabama,2006,6,2006-10-07,W,Mike Shula
alabama,2006,7,2006-10-14,W,Mike Shula
alabama,2006,8,2006-10-21,L,Mike Shula
alabama,2006,9,2006-10-28,W,Mike Shula
alabama,2006,10,2006-11-04,L,Mike Shula
alabama,2006,11,2006-11-11,L,Mike Shula
alabama,2006,12,2006-11-18,L,Mike Shula
alabama,2006,13,2006-12-28,L,Joe Kines
alabama,2007,1,2007-09-01,W,Nick Saban
alabama,2007,2,2007-09-08,W,Nick Saban
alabama,2007,3,2007-09-15,W,Nick Saban
alabama,2007,4,2007-09-22,L,Nick Saban
alabama,2007,5,2007-09-29,L,Nick Saban
alabama,2007,6,2007-10-06,W,Nick Saban
alabama,2007,7,2007-10-13,W,Nick Saban
alabama,2007,8,2007-10-20,W,Nick Saban
alabama,2007,9,2007-11-03,L,Nick Saban
alabama,2007,10,2007-11-10,L,Nick Saban
alabama,2007,11,2007-11-17,L,Nick Saban
alabama,2007,12,2007-11-24,L,Nick Saban
alabama,2007,13,2007-12-30,W,Nick Saban
alabama,2008,1,2008-08-30,W,Nick Saban
alabama,2008,2,2008-09-06,W,Nick Saban
alabama,2008,3,2008-09-13,W,Nick Saban
alabama,2008,4,2008-09-20,W,Nick Saban
alabama,2008,5,2008-09-27,W,Nick Saban
alabama,2008,6,2008-10-04,W,Nick Saban
alabama,2008,7,2008-10-18,W,Nick Saban
alabama,2008,8,2008-10-25,W,Nick Saban
alabama,2008,9,2008-11-01,W,Nick Saban
alabama,2008,10,2008-11-08,W,Nick Saban
