coach,coach_id,franchises,poc,note
Tyronn Lue,luety01c,CLE,yes,
Tyrone Corbin,corbity01c,SAC|UTA,yes,
Tony Brown,brownto01c,NJNBRK,yes,
Terry Porter,portete01c,PHO|MIL,yes,
Sidney Lowe,lowesi01c,VANMEM,yes,
Sam Vincent,vincesa01c,CHARBH,yes,
Sam Mitchell,mitchsa01c,TOR|MIN,yes,
Reggie Theus,theusre01c,SAC,yes,
Randy Ayers,ayersra99c,PHI,yes,
Pete Myers,myerspe01c,CHI,yes,
Paul Silas,silaspa01c,CLE|CHARBH|NORLHP,yes,
Nate McMillan,mcmilna01c,IND|SEAOKC|POR,yes,
Monty Williams,willimo01c,NORLHP,yes,
Mike Woodson,woodsmi01c,NYK|ATL,yes,
Mike Evans,evansmi01c,DEN,yes,
Mike Brown,brownmi99c,LAL|CLE,yes,
Michael Curry,currymi01c,DET,yes,
Michael Cooper,coopemi01c,DEN,yes,
Melvin Hunt,huntme01c,DEN,yes,
Maurice Cheeks,cheekma01c,POR|PHI|DET,yes,
Mark Jackson,jacksma01c,GSW,yes,
Lionel Hollins,hollili01c,NJNBRK|VANMEM,yes,
Lindsey Hunter,hunteli01c,PHO,yes,
Leonard Hamilton,hamille99c,WAS,yes,
Lenny Wilkens,wilkele01c,TOR|NYK,yes,half black
Larry Drew,drewla01c,ATL|MIL,yes,
Kenny Natt,nattke01c,SAC,yes,
Keith Smart,smartke01c,SAC|CLE|GSW,yes,
Kaleb Canales,canalka99c,POR,yes,latino
Johnny Davis,davisjo01c,ORL|VANMEM,yes,
John Lucas,lucasjo01c,CLE,yes,
Jason Kidd,kiddja01c,NJNBRK|MIL,yes,half black
James Borrego,borreja99c,ORL,yes,latino
Jacque Vaughn,vaughja01c,ORL,yes,
J.B. Bickerstaff,bickejb01c,HOU,yes,
Isiah Thomas,thomais01c,IND|NYK,yes,
Herb Williams,willihe01c,NYK,yes,
Frank Johnson,johnsfr01c,PHO,yes,
Erik Spoelstra,spoeler99c,MIA,yes,filipino
Eddie Jordan,jordaed01c,PHI|WAS,yes,
Ed Tapscott,tapsced99c,WAS,yes,
Earl Watson,watsoea01c,PHO,yes,
Dwane Casey,caseydw99c,TOR|MIN,yes,
Don Chaney,chanedo01c,NYK,yes,
Doc Rivers,riverdo01c,ORL|BOS|LAC,yes,
Derek Fisher,fishede01c,NYK,yes,
Dennis Johnson,johnsde01c,LAC,yes,
David Fizdale,fizdada01c,VANMEM,yes,
Byron Scott,scottby01c,LAL|CLE|NJNBRK|NORLHP,yes,
Brian Shaw,shawbr01c,DEN,yes,
Bill Cartwright,cartwbi01c,CHI,yes,
Bill Berry,berrybi99c,CHI,yes,
Bernie Bickerstaff,bickebe99c,LAL|CHARBH,yes,
Avery Johnson,johnsav01c,DAL|NJNBRK,yes,
Alvin Gentry,gentral99c,PHO|NORLHP|LAC,yes,
Vinny Del Negro,delnevi01c,CHI|LAC,no,
Tony DiLeo,dileoto99c,PHI,no,
Tony Barone,baronto99c,VANMEM,no,
Tom Thibodeau,thiboto99c,CHI|MIN,no,
Tom Barrise,barrito99c,NJNBRK,no,
Tim Floyd,floydti99c,CHI|NORLHP,no,
Terry Stotts,stottte99c,ATL|POR|MIL,no,
Steve Kerr,kerrst01c,GSW,no,
Steve Clifford,cliffst99c,CHARBH,no,
Stan Van Gundy,vangust99c,MIA|ORL|DET,no,
Scott Skiles,skilesc01c,CHI|ORL|PHO|MIL,no,
Scott Brooks,brooksc01c,WAS|SEAOKC,no,
Rudy Tomjanovich,tomjaru01c,LAL|HOU,no,
Rick Pitino,pitinri99c,BOS,no,
Rick Carlisle,carliri01c,DAL|IND|DET,no,
Rick Adelman,adelmri01c,SAC|HOU|MIN,no,
