coach,coach_id,franchises,former_nba_player
Lon Kruger,krugelo99c,ATL,no
Mike Budenholzer,budenmi99c,ATL,no
Larry Drew,drewla01c,ATL|MIL,yes
Terry Stotts,stottte99c,ATL|POR|MIL,no
Brad Stevens,stevebr99c,BOS,no
John Carroll,carrojo99c,BOS,no
Rick Pitino,pitinri99c,BOS,no
Mike Dunlap,dunlami99c,CHARBH,no
Steve Clifford,cliffst99c,CHARBH,no
Sam Vincent,vincesa01c,CHARBH,yes
Bill Berry,berrybi99c,CHI,no
Bill Cartwright,cartwbi01c,CHI,yes
Fred Hoiberg,hoibefr99c,CHI,yes
Pete Myers,myerspe01c,CHI,yes
Vinny Del Negro,delnevi01c,CHI|LAC,yes
Jim Boylan,boylaji99c,CHI|MIL,no
Tom Thibodeau,thiboto99c,CHI|MIN,no
Tim Floyd,floydti99c,CHI|NORLHP,no
Scott Skiles,skilesc01c,CHI|ORL|PHO|MIL,yes
Brendan Malone,malonbr99c,CLE,no
David Blatt,blattda99c,CLE,no
John Lucas,lucasjo01c,CLE,yes
Tyronn Lue,luety01c,CLE,yes
Paul Silas,silaspa01c,CLE|CHARBH|NORLHP,yes
Randy Wittman,wittmra01c,CLE|WAS|MIN,yes
Don Nelson,nelsodo01c,DAL|GSW,yes
Rick Carlisle,carliri01c,DAL|IND|DET,yes
Avery Johnson,johnsav01c,DAL|NJNBRK,yes
Brian Shaw,shawbr01c,DEN,yes
Dan Issel,isselda01c,DEN,yes
Jeff Bzdelik,bzdelje99c,DEN,no
Michael Cooper,coopemi01c,DEN,yes
Mike Evans,evansmi01c,DEN,yes
Melvin Hunt,huntme01c,DEN,no
George Irvine,irvinge01c,DET,yes
John Kuester,kuestjo01c,DET,yes
John Loyer,loyerjo99c,DET,no
Michael Curry,currymi01c,DET,yes
Larry Brown,brownla01c,DET|PHI|CHARBH|NYK,yes
Brian Winters,wintebr01c,GSW,yes
Dave Cowens,cowenda01c,GSW,yes
Mark Jackson,jacksma01c,GSW,yes
Mike Montgomery,montgmi99c,GSW,no
Steve Kerr,kerrst01c,GSW,yes
J.B. Bickerstaff,bickejb01c,HOU,no
Kevin McHale,mchalke01c,HOU|MIN,yes
Isiah Thomas,thomais01c,IND|NYK,yes
Frank Vogel,vogelfr99c,IND|ORL,no
Jim O'Brien,obrieji99c,IND|PHI|BOS,no
Nate McMillan,mcmilna01c,IND|SEAOKC|POR,yes
Dennis Johnson,johnsde01c,LAC,yes
Kim Hughes,hugheki01c,LAC,yes
Frank Hamblen,hamblfr99c,LAL,no
Luke Walton,waltolu01c,LAL,yes
Phil Jackson,jacksph01c,LAL,yes
Bernie Bickerstaff,bickebe99c,LAL|CHARBH,no
Mike Brown,brownmi99c,LAL|CLE,no
Byron Scott,scottby01c,LAL|CLE|NJNBRK|NORLHP,yes
Rudy Tomjanovich,tomjaru01c,LAL|HOU,yes
Mike D'Antoni,dantomi01c,LAL|NYK|HOU|PHO,yes
Erik Spoelstra,spoeler99c,MIA,no
Pat Riley,rileypa01c,MIA,yes
Stan Van Gundy,vangust99c,MIA|ORL|DET,no
Larry Krystkowiak,krystla01c,MIL,yes
Kenny Atkinson,atkinke01c,NJNBRK,no
Kiki Vandeweghe,vandeki01c,NJNBRK,yes
Tom Barrise,barrito99c,NJNBRK,no
Tony Brown,brownto01c,NJNBRK,yes
Lawrence Frank,frankla99c,NJNBRK|DET,no
Jason Kidd,kiddja01c,NJNBRK|MIL,yes
P.J. Carlesimo,carlepj99c,NJNBRK|SEAOKC,no
Lionel Hollins,hollili01c,NJNBRK|VANMEM,yes
Jeff Bower,bowerje99c,NORLHP,no
Monty Williams,willimo01c,NORLHP,yes
Don Chaney,chanedo01c,NYK,yes
Derek Fisher,fishede01c,NYK,yes
Herb Williams,willihe01c,NYK,yes
Mike Woodson,woodsmi01c,NYK|ATL,yes
Jeff Van Gundy,vanguje99c,NYK|HOU,no
Kurt Rambis,rambiku01c,NYK|MIN,yes
Jeff Hornacek,hornaje01c,NYK|PHO,yes
Brian Hill,hillbr99c,ORL,no
Chris Jent,jentch01c,ORL,yes
James Borrego,borreja99c,ORL,no
Jacque Vaughn,vaughja01c,ORL,yes
Doc Rivers,riverdo01c,ORL|BOS|LAC,yes
Johnny Davis,davisjo01c,ORL|VANMEM,yes
Brett Brown,brownbr99c,PHI,no
Chris Ford,fordch01c,PHI,yes
Randy Ayers,ayersra99c,PHI,no
Tony DiLeo,dileoto99c,PHI,no
Doug Collins,collido01c,PHI|WAS,yes
Eddie Jordan,jordaed01c,PHI|WAS,yes
Earl Watson,watsoea01c,PHO,yes
Frank Johnson,johnsfr01c,PHO,yes
Lindsey Hunter,hunteli01c,PHO,yes
Terry Porter,portete01c,PHO|MIL,yes
Alvin Gentry,gentral99c,PHO|NORLHP|LAC,no
Kaleb Canales,canalka99c,POR,no
Kevin Pritchard,pritcke01c,POR,yes
Mike Dunleavy,dunlemi01c,POR|LAC,yes
Maurice Cheeks,cheekma01c,POR|PHI|DET,yes
Kenny Natt,nattke01c,SAC,yes
Reggie Theus,theusre01c,SAC,yes
Keith Smart,smartke01c,SAC|CLE|GSW,yes
Mike Malone,malonmi99c,SAC|DEN,no
Eric Musselman,musseer99c,SAC|GSW,no
Rick Adelman,adelmri01c,SAC|HOU|MIN,yes
George Karl,karlge01c,SAC|MIL|DEN,yes
Paul Westphal,westppa01c,SAC|SEAOKC,yes
Tyrone Corbin,corbity01c,SAC|UTA,yes
Dave Joerger,joergda99c,SAC|VANMEM,no
Gregg Popovich,popovgr99c,SAS,no
Billy Donovan,donovbi99c,SEAOKC,yes
Bob Hill,hillbo99c,SEAOKC,no
Bob Weiss,weissbo01c,SEAOKC,yes
Jay Triano,trianja99c,TOR,no
Kevin O'Neill,oneilke99c,TOR,no
Dwane Casey,caseydw99c,TOR|MIN,no
Sam Mitchell,mitchsa01c,TOR|MIN,yes
Lenny Wilkens,wilkele01c,TOR|NYK,yes
Jerry Sloan,sloanje01c,UTA,yes
Quin Snyder,snydequ01c,UTA,no
David Fizdale,fizdada01c,VANMEM,no
Hubie Brown,brownhu99c,VANMEM,no
Mike Fratello,fratemi99c,VANMEM,no
Marc Iavaroni,iavarma01c,VANMEM,yes
Sidney Lowe,lowesi01c,VANMEM,yes
Tony Barone,baronto99c,VANMEM,no
Ed Tapscott,tapsced99c,WAS,no
Leonard Hamilton,hamille99c,WAS,no
Flip Saunders,saundfl99c,WAS|DET|MIN,no
Scott Brooks,brooksc01c,WAS|SEAOKC,yes
