slug,coach,franchise,seasons,games,wins,losses,min_year,max_year,left_truncated,ending
kruger|01|03|ATL,L. Kruger,ATL,3,191,69,122,2001,2003,True,fired
stotts|03|04|ATL,T. Stotts,ATL,2,137,52,85,2003,2004,False,fired
woodson|05|10|ATL,M. Woodson,ATL,6,492,206,286,2005,2010,False,fired
drew|11|13|ATL,L. Drew,ATL,3,230,128,102,2011,2013,False,fired
budenholzer|14|17|ATL,M. Budenholzer,ATL,4,328,189,139,2014,2017,False,
pitino|01|01|BOS,R. Pitino,BOS,1,34,12,22,2001,2001,True,resigned
o'brien|01|04|BOS,J. O'Brien,BOS,4,258,139,119,2001,2004,False,resigned
carroll|04|04|BOS,J. Carroll,BOS,1,36,14,22,2004,2004,False,interim only
rivers|05|13|BOS,D. Rivers,BOS,9,721,416,305,2005,2013,False,traded
stevens|14|17|BOS,B. Stevens,BOS,4,328,166,162,2014,2017,False,
bickerstaff|05|07|CHARBH,B. Bickerstaff,CHARBH,3,246,77,169,2005,2007,False,resigned
vincent|08|08|CHARBH,S. Vincent,CHARBH,1,82,32,50,2008,2008,False,fired
brown|09|11|CHARBH,L. Brown,CHARBH,3,192,88,104,2009,2011,False,resigned
silas|11|12|CHARBH,P. Silas,CHARBH,2,120,32,88,2011,2012,False,fired
dunlap|13|13|CHARBH,M. Dunlap,CHARBH,1,82,21,61,2013,2013,False,fired
clifford|14|17|CHARBH,S. Clifford,CHARBH,4,328,160,168,2014,2017,False,
floyd|01|02|CHI,T. Floyd,CHI,2,107,19,88,2001,2002,True,resigned
berry|02|02|CHI,B. Berry,CHI,1,2,0,2,2002,2002,False,interim only
cartwright|02|04|CHI,B. Cartwright,CHI,3,151,51,100,2002,2004,False,fired
myers|04|04|CHI,P. Myers,CHI,1,2,0,2,2004,2004,False,interim only
skiles|04|08|CHI,S. Skiles,CHI,5,337,165,172,2004,2008,False,fired
myers|08|08|CHI,P. Myers,CHI,1,1,0,1,2008,2008,False,interim only
boylan|08|08|CHI,J. Boylan,CHI,1,56,24,32,2008,2008,False,interim only
negro|09|10|CHI,V. Del Negro,CHI,2,164,82,82,2009,2010,False,fired
thibodeau|11|15|CHI,T. Thibodeau,CHI,5,394,255,139,2011,2015,False,fired
hoiberg|16|17|CHI,F. Hoiberg,CHI,2,164,83,81,2016,2017,False,
wittman|01|01|CLE,R. Wittman,CLE,1,82,30,52,2001,2001,True,fired
lucas|02|03|CLE,J. Lucas,CLE,2,124,37,87,2002,2003,False,fired
smart|03|03|CLE,K. Smart,CLE,1,40,9,31,2003,2003,False,interim only
silas|04|05|CLE,P. Silas,CLE,2,146,69,77,2004,2005,False,fired
malone|05|05|CLE,B. Malone,CLE,1,18,8,10,2005,2005,False,interim only
brown|06|10|CLE,M. Brown,CLE,5,410,272,138,2006,2010,False,fired
scott|11|13|CLE,B. Scott,CLE,3,230,64,166,2011,2013,False,fired
brown|14|14|CLE,M. Brown,CLE,1,82,33,49,2014,2014,False,fired
blatt|15|16|CLE,D. Blatt,CLE,2,123,83,40,2015,2016,False,fired
lue|16|17|CLE,T. Lue,CLE,2,123,78,45,2016,2017,False,
nelson|01|05|DAL,D. Nelson,DAL,5,392,264,128,2001,2005,True,resigned
johnson|05|08|DAL,A. Johnson,DAL,4,264,194,70,2005,2008,False,fired
carlisle|09|17|DAL,R. Carlisle,DAL,9,722,413,309,2009,2017,False,
issel|01|02|DEN,D. Issel,DEN,2,108,49,59,2001,2002,True,resigned
evans|02|02|DEN,M. Evans,DEN,1,56,18,38,2002,2002,False,interim only
bzdelik|03|05|DEN,J. Bzdelik,DEN,3,192,73,119,2003,2005,False,fired
cooper|05|05|DEN,M. Cooper,DEN,1,14,4,10,2005,2005,False,interim only
karl|05|13|DEN,G. Karl,DEN,9,680,423,257,2005,2013,False,fired
shaw|14|15|DEN,B. Shaw,DEN,2,141,56,85,2014,2015,False,fired
hunt|15|15|DEN,M. Hunt,DEN,1,23,10,13,2015,2015,False,interim only
malone|16|17|DEN,M. Malone,DEN,2,164,73,91,2016,2017,False,
irvine|01|01|DET,G. Irvine,DET,1,82,32,50,2001,2001,True,fired
carlisle|02|03|DET,R. Carlisle,DET,2,164,100,64,2002,2003,False,fired
brown|04|05|DET,L. Brown,DET,2,164,108,56,2004,2005,False,fired
saunders|06|08|DET,F. Saunders,DET,3,246,176,70,2006,2008,False,fired
curry|09|09|DET,M. Curry,DET,1,82,39,43,2009,2009,False,fired
kuester|10|11|DET,J. Kuester,DET,2,164,57,107,2010,2011,False,fired
frank|12|13|DET,L. Frank,DET,2,148,54,94,2012,2013,False,fired
cheeks|14|14|DET,M. Cheeks,DET,1,50,21,29,2014,2014,False,fired
loyer|14|14|DET,J. Loyer,DET,1,32,8,24,2014,2014,False,interim only
gundy|15|17|DET,S. Van Gundy,DET,3,246,113,133,2015,2017,False,
cowens|01|02|GSW,D. Cowens,GSW,2,105,25,80,2001,2002,True,fired
winters|02|02|GSW,B. Winters,GSW,1,59,13,46,2002,2002,False,interim only
musselman|03|04|GSW,E. Musselman,GSW,2,164,75,89,2003,2004,False,fired
montgomery|05|06|GSW,M. Montgomery,GSW,2,164,68,96,2005,2006,False,fired
nelson|07|10|GSW,D. Nelson,GSW,4,328,145,183,2007,2010,False,fired
smart|11|11|GSW,K. Smart,GSW,1,82,36,46,2011,2011,False,interim only
jackson|12|14|GSW,M. Jackson,GSW,3,230,121,109,2012,2014,False,fired
kerr|15|17|GSW,S. Kerr,GSW,3,246,207,39,2015,2017,False,
tomjanovich|01|03|HOU,R. Tomjanovich,HOU,3,246,116,130,2001,2003,True,resigned
gundy|04|07|HOU,J. Van Gundy,HOU,4,328,182,146,2004,2007,False,fired
adelman|08|11|HOU,R. Adelman,HOU,4,328,193,135,2008,2011,False,fired
mchale|12|16|HOU,K. McHale,HOU,5,323,193,130,2012,2016,False,fired
bickerstaff|16|16|HOU,J. Bickerstaff,HOU,1,71,37,34,2016,2016,False,interim only
d'antoni|17|17|HOU,M. D'Antoni,HOU,1,82,55,27,2017,2017,False,
