franchise,team,year,coaches_text,coach,coach_id,wins,losses,games,order
ATL,ATL,2018,M. Budenholzer (6-22),M. Budenholzer,budenmi99c,6,22,28,1
ATL,ATL,2017,M. Budenholzer (43-39),M. Budenholzer,budenmi99c,43,39,82,1
ATL,ATL,2016,M. Budenholzer (48-34),M. Budenholzer,budenmi99c,48,34,82,1
ATL,ATL,2015,M. Budenholzer (60-22),M. Budenholzer,budenmi99c,60,22,82,1
ATL,ATL,2014,M. Budenholzer (38-44),M. Budenholzer,budenmi99c,38,44,82,1
ATL,ATL,2013,L. Drew (44-38),L. Drew,drewla01c,44,38,82,1
ATL,ATL,2012,L. Drew (40-26),L. Drew,drewla01c,40,26,66,1
ATL,ATL,2011,L. Drew (44-38),L. Drew,drewla01c,44,38,82,1
ATL,ATL,2010,M. Woodson (53-29),M. Woodson,woodsmi01c,53,29,82,1
ATL,ATL,2009,M. Woodson (47-35),M. Woodson,woodsmi01c,47,35,82,1
ATL,ATL,2008,M. Woodson (37-45),M. Woodson,woodsmi01c,37,45,82,1
ATL,ATL,2007,M. Woodson (30-52),M. Woodson,woodsmi01c,30,52,82,1
ATL,ATL,2006,M. Woodson (26-56),M. Woodson,woodsmi01c,26,56,82,1
ATL,ATL,2005,M. Woodson (13-69),M. Woodson,woodsmi01c,13,69,82,1
ATL,ATL,2004,T. Stotts (28-54),T. Stotts,stottte99c,28,54,82,1
ATL,ATL,2003,"L. Kruger (11-16), T. Stotts (24-31)",T. Stotts,stottte99c,24,31,55,2
ATL,ATL,2003,"L. Kruger (11-16), T. Stotts (24-31)",L. Kruger,krugelo99c,11,16,27,1
ATL,ATL,2002,L. Kruger (33-49),L. Kruger,krugelo99c,33,49,82,1
ATL,ATL,2001,L. Kruger (25-57),L. Kruger,krugelo99c,25,57,82,1
MIL,MIL,2018,J. Kidd (15-11),J. Kidd,kiddja01c,15,11,26,1
MIL,MIL,2017,J. Kidd (42-40),J. Kidd,kiddja01c,42,40,82,1
MIL,MIL,2016,J. Kidd (33-49),J. Kidd,kiddja01c,33,49,82,1
MIL,MIL,2015,J. Kidd (41-41),J. Kidd,kiddja01c,41,41,82,1
MIL,MIL,2014,L. Drew (15-67),L. Drew,drewla01c,15,67,82,1
MIL,MIL,2013,"S. Skiles (16-16), J. Boylan (22-28)",J. Boylan,boylaji99c,22,28,50,2
MIL,MIL,2013,"S. Skiles (16-16), J. Boylan (22-28)",S. Skiles,skilesc01c,16,16,32,1
MIL,MIL,2012,S. Skiles (31-35),S. Skiles,skilesc01c,31,35,66,1
MIL,MIL,2011,S. Skiles (35-47),S. Skiles,skilesc01c,35,47,82,1
MIL,MIL,2010,S. Skiles (46-36),S. Skiles,skilesc01c,46,36,82,1
MIL,MIL,2009,S. Skiles (34-48),S. Skiles,skilesc01c,34,48,82,1
MIL,MIL,2008,L. Krystkowiak (26-56),L. Krystkowiak,krystla01c,26,56,82,1
MIL,MIL,2007,"T. Stotts (23-41), L. Krystkowiak (5-13)",L. Krystkowiak,krystla01c,5,13,18,2
MIL,MIL,2007,"T. Stotts (23-41), L. Krystkowiak (5-13)",T. Stotts,stottte99c,23,41,64,1
MIL,MIL,2006,T. Stotts (40-42),T. Stotts,stottte99c,40,42,82,1
MIL,MIL,2005,T. Porter (30-52),T. Porter,portete01c,30,52,82,1
MIL,MIL,2004,T. Porter (41-41),T. Porter,portete01c,41,41,82,1
MIL,MIL,2003,G. Karl (42-40),G. Karl,karlge01c,42,40,82,1
MIL,MIL,2002,G. Karl (41-41),G. Karl,karlge01c,41,41,82,1
MIL,MIL,2001,G. Karl (52-30),G. Karl,karlge01c,52,30,82,1
MIN,MIN,2018,T. Thibodeau (17-12),T. Thibodeau,thiboto99c,17,12,29,1
MIN,MIN,2017,T. Thibodeau (31-51),T. Thibodeau,thiboto99c,31,51,82,1
MIN,MIN,2016,S. Mitchell (29-53),S. Mitchell,mitchsa01c,29,53,82,1
MIN,MIN,2015,F. Saunders (16-66),F. Saunders,saundfl99c,16,66,82,1
MIN,MIN,2014,R. Adelman (40-42),R. Adelman,adelmri01c,40,42,82,1
MIN,MIN,2013,R. Adelman (31-51),R. Adelman,adelmri01c,31,51,82,1
MIN,MIN,2012,R. Adelman (26-40),R. Adelman,adelmri01c,26,40,66,1
MIN,MIN,2011,K. Rambis (17-65),K. Rambis,rambiku01c,17,65,82,1
MIN,MIN,2010,K. Rambis (15-67),K. Rambis,rambiku01c,15,67,82,1
MIN,MIN,2009,"R. Wittman (4-15), K. McHale (20-43)",K. McHale,mchalke01c,20,43,63,2
MIN,MIN,2009,"R. Wittman (4-15), K. McHale (20-43)",R. Wittman,wittmra01c,4,15,19,1
MIN,MIN,2008,R. Wittman (22-60),R. Wittman,wittmra01c,22,60,82,1
MIN,MIN,2007,"D. Casey (20-20), R. Wittman (12-30)",R. Wittman,wittmra01c,12,30,42,2
MIN,MIN,2007,"D. Casey (20-20), R. Wittman (12-30)",D. Casey,caseydw99c,20,20,40,1
MIN,MIN,2006,D. Casey (33-49),D. Casey,caseydw99c,33,49,82,1
MIN,MIN,2005,"F. Saunders (25-26), K. McHale (19-12)",K. McHale,mchalke01c,19,12,31,2
MIN,MIN,2005,"F. Saunders (25-26), K. McHale (19-12)",F. Saunders,saundfl99c,25,26,51,1
MIN,MIN,2004,F. Saunders (58-24),F. Saunders,saundfl99c,58,24,82,1
MIN,MIN,2003,F. Saunders (51-31),F. Saunders,saundfl99c,51,31,82,1
MIN,MIN,2002,F. Saunders (50-32),F. Saunders,saundfl99c,50,32,82,1
MIN,MIN,2001,F. Saunders (47-35),F. Saunders,saundfl99c,47,35,82,1
NORLHP,NOP,2018,A. Gentry (15-14),A. Gentry,gentral99c,15,14,29,1
NORLHP,NOP,2017,A. Gentry (34-48),A. Gentry,gentral99c,34,48,82,1
NORLHP,NOP,2016,A. Gentry (30-52),A. Gentry,gentral99c,30,52,82,1
NORLHP,NOP,2015,M. Williams (45-37),M. Williams,willimo01c,45,37,82,1
NORLHP,NOP,2014,M. Williams (34-48),M. Williams,willimo01c,34,48,82,1
NORLHP,NOH,2013,M. Williams (27-55),M. Williams,willimo01c,27,55,82,1
NORLHP,NOH,2012,M. Williams (21-45),M. Williams,willimo01c,21,45,66,1
NORLHP,NOH,2011,M. Williams (46-36),M. Williams,willimo01c,46,36,82,1
NORLHP,NOH,2010,"B. Scott (3-6), J. Bower (34-39)",J. Bower,bowerje99c,34,39,73,2
NORLHP,NOH,2010,"B. Scott (3-6), J. Bower (34-39)",B. Scott,scottby01c,3,6,9,1
NORLHP,NOH,2009,B. Scott (49-33),B. Scott,scottby01c,49,33,82,1
NORLHP,NOH,2008,B. Scott (56-26),B. Scott,scottby01c,56,26,82,1
NORLHP,NOK,2007,B. Scott (39-43),B. Scott,scottby01c,39,43,82,1
NORLHP,NOK,2006,B. Scott (38-44),B. Scott,scottby01c,38,44,82,1
NORLHP,NOH,2005,B. Scott (18-64),B. Scott,scottby01c,18,64,82,1
NORLHP,NOH,2004,T. Floyd (41-41),T. Floyd,floydti99c,41,41,82,1
NORLHP,NOH,2003,P. Silas (47-35),P. Silas,silaspa01c,47,35,82,1
