slug,coach,coach_id,franchise,seasons,games,wins,losses,min_date,max_date,left_truncated
krugelo99c|00|02|ATL,Lon Kruger,krugelo99c,ATL,3,191,69,122,2000-10-31,2002-12-23,True
stottte99c|02|04|ATL,Terry Stotts,stottte99c,ATL,2,137,52,85,2002-12-27,2004-04-14,False
woodsmi01c|04|10|ATL,Mike Woodson,woodsmi01c,ATL,6,492,206,286,2004-11-03,2010-04-14,False
drewla01c|10|13|ATL,Larry Drew,drewla01c,ATL,3,230,128,102,2010-10-27,2013-04-17,False
budenmi99c|13|17|ATL,Mike Budenholzer,budenmi99c,ATL,5,356,195,161,2013-10-30,2017-12-14,False
pitinri99c|00|01|BOS,Rick Pitino,pitinri99c,BOS,1,34,12,22,2000-11-01,2001-01-06,True
obrieji99c|01|04|BOS,Jim O'Brien,obrieji99c,BOS,4,258,139,119,2001-01-08,2004-01-25,False
carrojo99c|04|04|BOS,John Carroll,carrojo99c,BOS,1,36,14,22,2004-01-28,2004-04-14,False
riverdo01c|04|13|BOS,Doc Rivers,riverdo01c,BOS,9,721,416,305,2004-11-03,2013-04-17,False
stevebr99c|13|17|BOS,Brad Stevens,stevebr99c,BOS,5,358,190,168,2013-10-30,2017-12-13,False
bickebe99c|04|07|CHARBH,Bernie Bickerstaff,bickebe99c,CHARBH,3,246,77,169,2004-11-04,2007-04-18,False
vincesa01c|07|08|CHARBH,Sam Vincent,vincesa01c,CHARBH,1,82,32,50,2007-11-02,2008-04-16,False
brownla01c|08|10|CHARBH,Larry Brown,brownla01c,CHARBH,3,192,88,104,2008-10-30,2010-12-21,False
silaspa01c|10|12|CHARBH,Paul Silas,silaspa01c,CHARBH,2,120,32,88,2010-12-27,2012-04-26,False
dunlami99c|12|13|CHARBH,Mike Dunlap,dunlami99c,CHARBH,1,82,21,61,2012-11-02,2013-04-17,False
cliffst99c|13|17|CHARBH,Steve Clifford,cliffst99c,CHARBH,5,355,170,185,2013-10-30,2017-12-13,False
floydti99c|00|01|CHI,Tim Floyd,floydti99c,CHI,2,107,19,88,2000-10-31,2001-12-22,True
berrybi99c|01|01|CHI,Bill Berry,berrybi99c,CHI,1,2,0,2,2001-12-26,2001-12-27,False
cartwbi01c|01|03|CHI,Bill Cartwright,cartwbi01c,CHI,3,151,51,100,2001-12-29,2003-11-23,False
myerspe01c|03|03|CHI,Pete Myers,myerspe01c,CHI,1,2,0,2,2003-11-25,2003-11-26,False
skilesc01c|03|07|CHI,Scott Skiles,skilesc01c,CHI,5,337,165,172,2003-12-01,2007-12-22,False
myerspe01c|07|07|CHI,Pete Myers,myerspe01c,CHI,1,1,0,1,2007-12-26,2007-12-26,False
boylaji99c|07|08|CHI,Jim Boylan,boylaji99c,CHI,1,56,24,32,2007-12-28,2008-04-16,False
delnevi01c|08|10|CHI,Vinny Del Negro,delnevi01c,CHI,2,164,82,82,2008-10-28,2010-04-14,False
thiboto99c|10|15|CHI,Tom Thibodeau,thiboto99c,CHI,5,394,255,139,2010-10-27,2015-04-15,False
hoibefr99c|15|17|CHI,Fred Hoiberg,hoibefr99c,CHI,3,191,90,101,2015-10-27,2017-12-13,False
wittmra01c|00|01|CLE,Randy Wittman,wittmra01c,CLE,1,82,30,52,2000-10-31,2001-04-18,True
lucasjo01c|01|03|CLE,John Lucas,lucasjo01c,CLE,2,124,37,87,2001-10-30,2003-01-18,False
smartke01c|03|03|CLE,Keith Smart,smartke01c,CLE,1,40,9,31,2003-01-21,2003-04-16,False
silaspa01c|03|05|CLE,Paul Silas,silaspa01c,CLE,2,146,69,77,2003-10-29,2005-03-20,False
malonbr99c|05|05|CLE,Brendan Malone,malonbr99c,CLE,1,18,8,10,2005-03-22,2005-04-20,False
brownmi99c|05|10|CLE,Mike Brown,brownmi99c,CLE,5,410,272,138,2005-11-02,2010-04-14,False
scottby01c|10|13|CLE,Byron Scott,scottby01c,CLE,3,230,64,166,2010-10-27,2013-04-17,False
brownmi99c|13|14|CLE,Mike Brown,brownmi99c,CLE,1,82,33,49,2013-10-30,2014-04-16,False
blattda99c|14|16|CLE,David Blatt,blattda99c,CLE,2,123,83,40,2014-10-30,2016-01-21,False
luety01c|16|17|CLE,Tyronn Lue,luety01c,CLE,3,152,99,53,2016-01-23,2017-12-14,False
nelsodo01c|00|05|DAL,Don Nelson,nelsodo01c,DAL,5,392,264,128,2000-10-31,2005-03-17,True
johnsav01c|05|08|DAL,Avery Johnson,johnsav01c,DAL,4,264,194,70,2005-03-19,2008-04-16,False
carliri01c|08|17|DAL,Rick Carlisle,carliri01c,DAL,10,751,421,330,2008-10-30,2017-12-14,False
isselda01c|00|01|DEN,Dan Issel,isselda01c,DEN,2,108,49,59,2000-11-01,2001-12-22,True
evansmi01c|01|02|DEN,Mike Evans,evansmi01c,DEN,1,56,18,38,2001-12-26,2002-04-17,False
bzdelje99c|02|04|DEN,Jeff Bzdelik,bzdelje99c,DEN,3,192,73,119,2002-10-30,2004-12-27,False
coopemi01c|04|05|DEN,Michael Cooper,coopemi01c,DEN,1,14,4,10,2004-12-31,2005-01-26,False
karlge01c|05|13|DEN,George Karl,karlge01c,DEN,9,680,423,257,2005-01-28,2013-04-17,False
shawbr01c|13|15|DEN,Brian Shaw,shawbr01c,DEN,2,141,56,85,2013-10-30,2015-03-01,False
huntme01c|15|15|DEN,Melvin Hunt,huntme01c,DEN,1,23,10,13,2015-03-03,2015-04-15,False
malonmi99c|15|17|DEN,Mike Malone,malonmi99c,DEN,3,192,88,104,2015-10-28,2017-12-13,False
irvinge01c|00|01|DET,George Irvine,irvinge01c,DET,1,82,32,50,2000-10-31,2001-04-18,True
carliri01c|01|03|DET,Rick Carlisle,carliri01c,DET,2,164,100,64,2001-10-30,2003-04-16,False
brownla01c|03|05|DET,Larry Brown,brownla01c,DET,2,164,108,56,2003-10-29,2005-04-20,False
