tenure.slug,end.event,black,interim.promoted,total.games,win.pct,starting.elo,tenure.progress,last.year.progress,recent.progress,peak,bottom,peak.to.start,bottom.to.start
adelmri01c_HOU_2008_2011,1,0,0,328,0.5884146341463414,1555.9447,8.242799999999988,43.46389999999997,-8.59089999999992,1697.241,1454.8855,141.29629999999997,-101.05919999999992
adelmri01c_MIN_2012_2014,0,0,0,230,0.4217391304347826,1328.2598,205.88959999999997,100.91640000000007,-11.214500000000044,1588.3241,1322.3868,260.0643,-5.873000000000047
adelmri01c_SAC_1999_2006,1,0,0,624,0.6330128205128205,1350.9031,239.5462,35.572200000000066,55.7820999999999,1722.1309,1348.223,371.2278000000001,-2.6801000000000386
aingeda01c_PHO_1997_2000,0,0,0,226,0.6017699115044248,1436.9984,133.8003000000001,-6.266499999999951,30.57030000000009,1636.8282,1408.1003,199.82979999999998,-28.898099999999886
atkinke01c_NJN_2017_2020,1,0,0,308,0.38311688311688313,1342.98509822487,108.00301562566005,-55.51381820891993,-4.781461789020113,1518.53993007393,1248.65847390091,175.55483184906006,-94.32662432396
ayersra99c_PHI_2004_2004,1,1,0,52,0.40384615384615385,1562.0546,-148.49209999999994,-157.5519999999999,-61.557399999999916,1565.9512,1413.5625,3.896600000000035,-148.49209999999994
beilejo99c_CLE_2020_2020,0,0,0,54,0.25925925925925924,1349.54720698356,-91.23192161389011,-54.34451125473015,-72.24525725182002,1381.27756683408,1258.31528536967,31.730359850520017,-91.23192161389011
bickebe99c_CHA_2005_2007,0,1,0,246,0.3130081300813008,1300,160.27279999999996,90.5275999999999,69.13249999999994,1460.2728,1249.2513,160.27279999999996,-50.7487000000001
bickejb01c_CLE_2020_2020,0,1,0,11,0.45454545454545453,1275.84235803118,44.693876109139865,7.876437515919861,44.693876109139865,1322.72851002561,1275.84235803118,46.88615199442984,0
bickejb01c_MEM_2018_2019,1,1,1,145,0.3310344827586207,1450.50097825295,-27.29263649123004,99.80744216514995,-11.324705780389877,1491.14108903549,1287.29922933577,40.64011078253998,-163.2017489171801
birdla01c_IND_1998_2000,0,0,0,214,0.6869158878504673,1513.2952,107.73900000000003,-1.769800000000032,51.90610000000015,1676.5386,1508.7954,163.24340000000007,-4.49980000000005
blattda99c_CLE_2015_2016,1,0,0,123,0.6747967479674797,1463.7213,198.38370782369998,34.165707823699904,23.36140274114996,1682.3467682776,1431.6313,218.62546827760002,-32.08999999999992
borreja99c_CHA_2019_2020,0,0,0,147,0.4217687074829932,1501.95531264353,-129.79933270099013,-132.31512437988,7.247710604169924,1538.98287557077,1334.27418687906,37.02756292723984,-167.68112576447015
boyleji02c_CHI_2019_2020,0,0,1,123,0.3170731707317073,1314.24550460085,24.167705007459972,37.21560652328981,-37.69538147772005,1410.44944520588,1270.79018879764,96.20394060503008,-43.45531580320994
brooksc01c_OKC_2009_2015,1,0,0,545,0.6201834862385321,1275.9138,299.52,-71.39020000000005,-51.330400000000054,1749.163,1249.0995,473.2492,-26.814300000000003
brooksc01c_WAS_2017_2020,0,0,0,310,0.4774193548387097,1523.7228154137,-131.7047100129398,-25.43483870877003,-19.71464384992987,1620.02317644143,1375.97327665918,96.3003610277301,-147.7495387545198
brownbr99c_PHI_2014_2020,0,0,0,557,0.3895870736086176,1459.6904,100.7747305447001,-11.817182126589842,-12.39961928997991,1651.67016406563,1174.7012,191.97976406562998,-284.9892
brownhu99c_MEM_2003_2005,0,0,0,168,0.49404761904761907,1338.5573,219.98490000000015,-35.16079999999988,40.09660000000008,1628.6801,1315.6183,290.1228000000001,-22.93899999999985
brownla01c_CHA_2009_2011,0,0,0,192,0.4583333333333333,1462.3469,-35.812200000000075,-138.9049,-72.02539999999999,1565.4674,1399.3179,103.12049999999999,-63.028999999999996
brownla01c_DET_2004_2005,1,0,0,164,0.6585365853658537,1545.2441,90.5282000000002,-48.32849999999985,56.80320000000006,1684.1008,1537.6965,138.85670000000005,-7.547599999999875
brownla01c_NYK_2006_2006,1,0,0,82,0.2804878048780488,1431.3687,-132.1781000000001,-99.15750000000003,5.148199999999861,1433.7301,1285.9266,2.3614000000000033,-145.44209999999998
brownla01c_PHI_1998_2003,0,0,0,460,0.5543478260869565,1358.9252,212.1893,26.01599999999985,-17.876000000000204,1659.3602,1332.0055,300.4350000000002,-26.91969999999992
brownmi99c_CLE_2006_2010,1,1,0,410,0.6634146341463415,1472.532,243.2482,-19.0612000000001,-38.78580000000011,1762.7637,1470.3197,290.23170000000005,-2.212299999999914
brownmi99c_CLE_2014_2014,1,1,0,82,0.4024390243902439,1369.2823,58.92750000000001,97.63380000000006,-3.430699999999888,1468.439,1330.8328,99.1567,-38.44950000000017
brownmi99c_LAL_2012_2013,1,1,0,71,0.5915492957746479,1594.3787,-66.78600000000006,-78.94550000000004,-87.12779999999998,1618.002,1518.7981,23.623299999999972,-75.5806
budenmi99c_ATL_2014_2018,1,0,0,410,0.5195121951219512,1484.9949,-132.10558790160985,-134.83032402878985,6.288693871110127,1701.1826,1316.52627594045,216.18770000000018,-168.46862405954994
budenmi99c_MIL_2019_2020,0,0,0,147,0.7687074829931972,1517.81379206874,213.45533584585996,43.029120393129915,-8.737752783730002,1776.1669825835,1517.81379206874,258.35319051475994,0
bzdelje99c_DEN_2003_2005,1,0,0,192,0.3802083333333333,1410.3425,70.28770000000009,-63.275699999999915,-36.06230000000005,1543.9059,1274.8755,133.5634,-135.46699999999987
carlepj99c_GSW_1998_2000,1,0,0,159,0.2893081761006289,1405.9241,-15.416999999999916,-21.77520000000004,51.693700000000035,1432.4757,1244.3533,26.551600000000008,-161.57079999999996
carlepj99c_OKC_2008_2009,1,0,0,95,0.22105263157894736,1440.3995,-156.79739999999993,-0.7623999999998432,-51.835799999999836,1440.3995,1263.7084,0,-176.6911
carliri01c_DAL_2009_2020,0,0,0,953,0.5351521511017838,1563.3782,10.237331422199986,121.60116708183,-3.4956234512299034,1678.1997,1360.30931642035,114.82149999999979,-203.06888357965022
carliri01c_DET_2002_2003,1,0,0,164,0.6097560975609756,1453.8972,113.96769999999992,5.713400000000092,-39.42899999999986,1650.4094,1447.7196,196.5121999999999,-6.177600000000211
