coach.id,name,dob,dod
pottero99c,Roger Potter,,
auerbre99c,Red Auerbach,1917-09-20,2006-10-28
mcmilda99c,Dave McMillan,1886-12-24,
loganjo01c,John Logan,1921-01-01,1977-09-16
todormi01c,Mike Todorovich,1923-06-11,2000-06-24
mooredo99c,Doxie Moore,1911-02-13,1986-04-23
levanan01c,Andrew Levane,1920-04-11,2012-04-30
holzmre01c,Red Holzman,1920-08-10,1998-11-13
martisl01c,Slater Martin,1925-10-22,2012-10-18
hannual01c,Alex Hannum,1923-07-19,2002-01-18
phillan01c,Andy Phillip,1922-03-07,2001-04-29
macaued01c,Ed Macauley,1928-03-22,2011-11-09
seymopa01c,Paul Seymour,1928-01-30,1998-05-05
pettibo01c,Bob Pettit,1932-12-12,
gallaha01c,Harry Gallatin,1927-04-26,2015-10-07
gueriri01c,Richie Guerin,1932-05-29,
fitzsco99c,Cotton Fitzsimmons,1931-10-07,2004-07-24
tormobu01c,Gene Tormohlen,1937-05-12,2018-12-27
brownhu99c,Hubie Brown,1933-09-25,
fratemi99c,Mike Fratello,1947-02-24,
loughke01c,Kevin Loughery,1940-03-28,
weissbo01c,Bob Weiss,1942-05-07,
wilkele01c,Lenny Wilkens,1937-10-28,
krugelo99c,Lon Kruger,,
stottte99c,Terry Stotts,1957-11-25,
woodsmi01c,Mike Woodson,1958-03-24,
drewla01c,Larry Drew,1958-04-02,
budenmi99c,Mike Budenholzer,1969-08-06,
piercll01c,Lloyd Pierce,1976-05-11,
russejo99c,John Russell,1902-05-31,1973-11-15
juliaal99c,Alvin Julian,1901-04-05,1967-07-28
russebi01c,Bill Russell,1934-02-12,
heinsto01c,Tom Heinsohn,1934-08-26,
sandeto01c,Tom Sanders,1938-11-08,
cowenda01c,Dave Cowens,1948-10-25,
fitchbi99c,Bill Fitch,1934-05-19,
joneskc01c,K.C. Jones,1932-05-25,
rodgeji99c,Jimmy Rodgers,,
fordch01c,Chris Ford,1949-01-11,
carrml01c,M.L. Carr,1951-01-09,
pitinri99c,Rick Pitino,1952-09-18,
obrieji99c,Jim O'Brien,1952-02-11,
carrojo99c,John Carroll,,
riverdo01c,Doc Rivers,1961-10-13,
stevebr99c,Brad Stevens,1976-10-22,
zasloma01c,Max Zaslofsky,1925-12-07,1985-10-15
laresyo01c,York Larese,1938-07-18,2016-02-06
carnelo99c,Lou Carnesecca,,
mackibo99c,Bob MacKinnon,1927-12-05,2015-07-07
brownla01c,Larry Brown,1940-09-14,
blairbi99c,Bill Blair,1942-03-17,
albecst99c,Stan Albeck,1931-05-17,
wohlda01c,Dave Wohl,1949-11-02,
reedwi01c,Willis Reed,1942-06-25,
dalych99c,Chuck Daly,1930-07-20,2009-05-09
beardbu01c,Butch Beard,1947-05-04,
calipjo99c,John Calipari,1959-02-10,
caseybo99c,Don Casey,,
scottby01c,Byron Scott,1961-03-28,
frankla99c,Lawrence Frank,1970-08-23,
barrito99c,Tom Barrise,,
vandeki01c,Kiki Vandeweghe,1958-08-01,
johnsav01c,Avery Johnson,1965-03-25,
carlepj99c,P.J. Carlesimo,1949-05-30,
kiddja01c,Jason Kidd,1973-03-23,
hollili01c,Lionel Hollins,1953-10-19,
brownto01c,Tony Brown,1960-07-29,
atkinke01c,Kenny Atkinson,1967-06-02,
vaughja01c,Jacque Vaughn,1975-02-11,
hartedi99c,Dick Harter,1930-10-14,2012-03-12
littlge01c,Gene Littles,1943-06-29,
bristal01c,Allan Bristow,1951-08-23,
silaspa01c,Paul Silas,1943-07-12,
bickebe99c,Bernie Bickerstaff,1944-02-11,
vincesa01c,Sam Vincent,1963-05-18,
dunlami99c,Mike Dunlap,1957-05-27,
cliffst99c,Steve Clifford,1961-09-17,
borreja99c,James Borrego,1977-11-12,
kerrre01c,Red Kerr,1932-07-17,2009-02-26
mottadi99c,Dick Motta,1931-09-03,
badgeed99c,Ed Badger,1932-11-05,
costela01c,Larry Costello,1931-07-02,2001-12-13
robersc99c,Scotty Robertson,1930-02-01,2011-08-18
sloanje01c,Jerry Sloan,1942-03-28,2020-05-22
johnsph99c,Phil Johnson,,
thornro01c,Rod Thorn,1941-05-23,
westhpa99c,Paul Westhead,1939-02-21,
collido01c,Doug Collins,1951-07-28,
jacksph01c,Phil Jackson,1945-09-17,
floydti99c,Tim Floyd,,
berrybi99c,Bill Berry,,
cartwbi01c,Bill Cartwright,1957-07-30,
myerspe01c,Pete Myers,1963-09-15,
skilesc01c,Scott Skiles,1964-03-05,
boylaji99c,Jim Boylan,,
delnevi01c,Vinny Del Negro,1966-08-09,
thiboto99c,Tom Thibodeau,1958-01-17,
hoibefr99c,Fred Hoiberg,1972-10-15,
boyleji02c,Jim Boylen,1965-04-18,
mussebi99c,Bill Musselman,,2000-05-05
delando99c,Don Delaney,,
kloppbo99c,Bob Kloppenburg,,
nissato99c,Tom Nissalke,1932-07-07,2019-08-22
karlge01c,George Karl,1951-05-12,
wittmra01c,Randy Wittman,1959-10-28,
lucasjo01c,John Lucas,1953-10-31,
smartke01c,Keith Smart,1964-09-21,
malonbr99c,Brendan Malone,,
brownmi99c,Mike Brown,1970-03-05,
blattda99c,David Blatt,1959-05-22,
luety01c,Tyronn Lue,1977-05-03,
beilejo99c,John Beilein,1953-02-05,
bickejb01c,J.B. Bickerstaff,1979-03-10,
maclejo99c,John MacLeod,1937-10-03,2019-04-14
adubari99c,Richie Adubato,1937-11-23,
heardga01c,Gar Heard,1948-05-03,
bucknqu01c,Quinn Buckner,1954-08-20,
cleamji01c,Jim Cleamons,1949-09-13,
nelsodo01c,Don Nelson,1940-05-15,
carliri01c,Rick Carlisle,1959-10-27,
bassbo99c,Bob Bass,1929-01-28,2018-08-17
mclenjo99c,John McLendon,,1999-10-08
belmojo99c,Joe Belmont,1934-07-12,2019-01-06
walshdo99c,Donnie Walsh,1941-03-01,
moedo01c,Doug Moe,1938-09-21,
isselda01c,Dan Issel,1948-10-25,
hanzlbi01c,Bill Hanzlik,1957-12-06,
dantomi01c,Mike D'Antoni,1951-05-08,
evansmi01c,Mike Evans,1955-04-19,
bzdelje99c,Jeff Bzdelik,1952-12-01,
coopemi01c,Michael Cooper,1956-04-15,
shawbr01c,Brian Shaw,1966-03-22,
huntme01c,Melvin Hunt,1969-12-15,
malonmi99c,Mike Malone,1971-01-01,
benneca99c,Carl Bennett,1915-12-07,2013-05-15
armstcu01c,Curly Armstrong,1918-11-01,1983-06-06
