franchise,team,season,game_num,date,result
ATL,ATL,2001,1,2000-10-31,L
ATL,ATL,2001,2,2000-11-02,L
ATL,ATL,2001,3,2000-11-04,L
ATL,ATL,2001,4,2000-11-06,L
ATL,ATL,2001,5,2000-11-07,L
ATL,ATL,2001,6,2000-11-09,L
ATL,ATL,2001,7,2000-11-10,L
ATL,ATL,2001,8,2000-11-14,W
ATL,ATL,2001,9,2000-11-15,L
ATL,ATL,2001,10,2000-11-17,L
ATL,ATL,2001,11,2000-11-18,L
ATL,ATL,2001,12,2000-11-22,W
ATL,ATL,2001,13,2000-11-24,L
ATL,ATL,2001,14,2000-11-25,L
ATL,ATL,2001,15,2000-11-28,W
ATL,ATL,2001,16,2000-11-30,L
ATL,ATL,2001,17,2000-12-02,W
ATL,ATL,2001,18,2000-12-05,L
ATL,ATL,2001,19,2000-12-08,L
ATL,ATL,2001,20,2000-12-09,L
ATL,ATL,2001,21,2000-12-12,W
ATL,ATL,2001,22,2000-12-13,L
ATL,ATL,2001,23,2000-12-15,W
ATL,ATL,2001,24,2000-12-16,L
ATL,ATL,2001,25,2000-12-19,W
ATL,ATL,2001,26,2000-12-22,W
ATL,ATL,2001,27,2000-12-23,W
ATL,ATL,2001,28,2000-12-26,W
ATL,ATL,2001,29,2000-12-28,L
ATL,ATL,2001,30,2000-12-29,L
ATL,ATL,2001,31,2001-01-02,W
ATL,ATL,2001,32,2001-01-03,L
ATL,ATL,2001,33,2001-01-06,W
ATL,ATL,2001,34,2001-01-09,L
ATL,ATL,2001,35,2001-01-11,W
ATL,ATL,2001,36,2001-01-13,W
ATL,ATL,2001,37,2001-01-15,L
ATL,ATL,2001,38,2001-01-18,L
ATL,ATL,2001,39,2001-01-21,L
ATL,ATL,2001,40,2001-01-23,L
ATL,ATL,2001,41,2001-01-26,L
ATL,ATL,2001,42,2001-01-27,W
ATL,ATL,2001,43,2001-01-29,L
ATL,ATL,2001,44,2001-01-31,W
ATL,ATL,2001,45,2001-02-02,L
ATL,ATL,2001,46,2001-02-03,L
ATL,ATL,2001,47,2001-02-05,L
ATL,ATL,2001,48,2001-02-06,L
ATL,ATL,2001,49,2001-02-08,L
ATL,ATL,2001,50,2001-02-13,L
ATL,ATL,2001,51,2001-02-14,L
ATL,ATL,2001,52,2001-02-17,W
ATL,ATL,2001,53,2001-02-18,W
ATL,ATL,2001,54,2001-02-20,L
ATL,ATL,2001,55,2001-02-23,L
ATL,ATL,2001,56,2001-02-24,L
ATL,ATL,2001,57,2001-02-26,L
ATL,ATL,2001,58,2001-02-28,L
ATL,ATL,2001,59,2001-03-02,L
ATL,ATL,2001,60,2001-03-03,L
ATL,ATL,2001,61,2001-03-05,L
ATL,ATL,2001,62,2001-03-07,L
ATL,ATL,2001,63,2001-03-09,L
ATL,ATL,2001,64,2001-03-10,W
ATL,ATL,2001,65,2001-03-13,W
ATL,ATL,2001,66,2001-03-16,L
ATL,ATL,2001,67,2001-03-17,L
ATL,ATL,2001,68,2001-03-19,W
ATL,ATL,2001,69,2001-03-22,L
ATL,ATL,2001,70,2001-03-23,L
ATL,ATL,2001,71,2001-03-25,L
ATL,ATL,2001,72,2001-03-27,L
ATL,ATL,2001,73,2001-03-29,W
ATL,ATL,2001,74,2001-03-31,W
ATL,ATL,2001,75,2001-04-05,L
ATL,ATL,2001,76,2001-04-07,L
ATL,ATL,2001,77,2001-04-09,L
ATL,ATL,2001,78,2001-04-11,W
ATL,ATL,2001,79,2001-04-13,L
ATL,ATL,2001,80,2001-04-14,L
ATL,ATL,2001,81,2001-04-16,L
ATL,ATL,2001,82,2001-04-17,W
ATL,ATL,2002,1,2001-10-30,L
ATL,ATL,2002,2,2001-11-01,L
ATL,ATL,2002,3,2001-11-03,W
ATL,ATL,2002,4,2001-11-05,L
ATL,ATL,2002,5,2001-11-07,L
ATL,ATL,2002,6,2001-11-08,L
ATL,ATL,2002,7,2001-11-10,L
ATL,ATL,2002,8,2001-11-14,W
ATL,ATL,2002,9,2001-11-16,L
ATL,ATL,2002,10,2001-11-17,W
ATL,ATL,2002,11,2001-11-20,L
ATL,ATL,2002,12,2001-11-21,W
ATL,ATL,2002,13,2001-11-23,W
ATL,ATL,2002,14,2001-11-24,L
ATL,ATL,2002,15,2001-11-26,L
ATL,ATL,2002,16,2001-11-28,L
ATL,ATL,2002,17,2001-11-29,W
ATL,ATL,2002,18,2001-12-01,L
ATL,ATL,2002,19,2001-12-05,L
ATL,ATL,2002,20,2001-12-07,L
ATL,ATL,2002,21,2001-12-08,W
ATL,ATL,2002,22,2001-12-11,W
ATL,ATL,2002,23,2001-12-15,W
ATL,ATL,2002,24,2001-12-18,L
ATL,ATL,2002,25,2001-12-19,L
ATL,ATL,2002,26,2001-12-21,L
ATL,ATL,2002,27,2001-12-22,W
ATL,ATL,2002,28,2001-12-26,L
ATL,ATL,2002,29,2001-12-27,W
ATL,ATL,2002,30,2001-12-29,L
ATL,ATL,2002,31,2002-01-04,W
ATL,ATL,2002,32,2002-01-05,L
ATL,ATL,2002,33,2002-01-08,W
ATL,ATL,2002,34,2002-01-09,L
ATL,ATL,2002,35,2002-01-11,L
ATL,ATL,2002,36,2002-01-12,L
ATL,ATL,2002,37,2002-01-15,L
ATL,ATL,2002,38,2002-01-17,L
ATL,ATL,2002,39,2002-01-19,L
ATL,ATL,2002,40,2002-01-21,W
ATL,ATL,2002,41,2002-01-22,L
ATL,ATL,2002,42,2002-01-25,L
ATL,ATL,2002,43,2002-01-26,L
ATL,ATL,2002,44,2002-01-29,L
ATL,ATL,2002,45,2002-01-30,L
ATL,ATL,2002,46,2002-02-01,L
ATL,ATL,2002,47,2002-02-02,W
ATL,ATL,2002,48,2002-02-05,W
ATL,ATL,2002,49,2002-02-07,L
ATL,ATL,2002,50,2002-02-12,W
ATL,ATL,2002,51,2002-02-15,W
ATL,ATL,2002,52,2002-02-17,W
ATL,ATL,2002,53,2002-02-19,L
ATL,ATL,2002,54,2002-02-21,L
ATL,ATL,2002,55,2002-02-22,L
ATL,ATL,2002,56,2002-02-24,W
ATL,ATL,2002,57,2002-02-27,L
ATL,ATL,2002,58,2002-03-02,W
ATL,ATL,2002,59,2002-03-04,W
ATL,ATL,2002,60,2002-03-05,L
ATL,ATL,2002,61,2002-03-09,L
ATL,ATL,2002,62,2002-03-11,W
ATL,ATL,2002,63,2002-03-13,W
ATL,ATL,2002,64,2002-03-15,W
ATL,ATL,2002,65,2002-03-17,L
ATL,ATL,2002,66,2002-03-19,W
ATL,ATL,2002,67,2002-03-21,W
ATL,ATL,2002,68,2002-03-23,W
ATL,ATL,2002,69,2002-03-24,L
ATL,ATL,2002,70,2002-03-26,W
ATL,ATL,2002,71,2002-03-28,L
ATL,ATL,2002,72,2002-03-29,L
ATL,ATL,2002,73,2002-03-31,L
ATL,ATL,2002,74,2002-04-02,W
ATL,ATL,2002,75,2002-04-04,W
ATL,ATL,2002,76,2002-04-06,L
ATL,ATL,2002,77,2002-04-08,L
ATL,ATL,2002,78,2002-04-10,W
ATL,ATL,2002,79,2002-04-12,L
ATL,ATL,2002,80,2002-04-13,W
ATL,ATL,2002,81,2002-04-16,L
ATL,ATL,2002,82,2002-04-17,L
ATL,ATL,2003,1,2002-10-30,L
ATL,ATL,2003,2,2002-10-31,W
ATL,ATL,2003,3,2002-11-02,W
ATL,ATL,2003,4,2002-11-05,W
ATL,ATL,2003,5,2002-11-06,L
ATL,ATL,2003,6,2002-11-08,L
ATL,ATL,2003,7,2002-11-10,L
ATL,ATL,2003,8,2002-11-12,W
ATL,ATL,2003,9,2002-11-16,W
ATL,ATL,2003,10,2002-11-18,W
ATL,ATL,2003,11,2002-11-20,L
ATL,ATL,2003,12,2002-11-22,L
ATL,ATL,2003,13,2002-11-23,L
ATL,ATL,2003,14,2002-11-26,W
ATL,ATL,2003,15,2002-11-27,L
ATL,ATL,2003,16,2002-11-29,W
ATL,ATL,2003,17,2002-11-30,L
ATL,ATL,2003,18,2002-12-03,L
ATL,ATL,2003,19,2002-12-05,W
ATL,ATL,2003,20,2002-12-07,W
ATL,ATL,2003,21,2002-12-11,L
ATL,ATL,2003,22,2002-12-12,L
ATL,ATL,2003,23,2002-12-14,L
ATL,ATL,2003,24,2002-12-17,L
ATL,ATL,2003,25,2002-12-20,L
ATL,ATL,2003,26,2002-12-21,W
ATL,ATL,2003,27,2002-12-23,L
ATL,ATL,2003,28,2002-12-27,W
ATL,ATL,2003,29,2002-12-28,L
ATL,ATL,2003,30,2002-12-30,L
ATL,ATL,2003,31,2003-01-01,L
ATL,ATL,2003,32,2003-01-04,L
ATL,ATL,2003,33,2003-01-06,L
ATL,ATL,2003,34,2003-01-08,L
ATL,ATL,2003,35,2003-01-10,W
ATL,ATL,2003,36,2003-01-11,W
ATL,ATL,2003,37,2003-01-14,L
ATL,ATL,2003,38,2003-01-15,L
ATL,ATL,2003,39,2003-01-17,L
ATL,ATL,2003,40,2003-01-18,L
ATL,ATL,2003,41,2003-01-20,L
ATL,ATL,2003,42,2003-01-22,L
ATL,ATL,2003,43,2003-01-24,W
ATL,ATL,2003,44,2003-01-25,W
ATL,ATL,2003,45,2003-01-28,L
ATL,ATL,2003,46,2003-01-29,W
ATL,ATL,2003,47,2003-01-31,W
ATL,ATL,2003,48,2003-02-02,W
ATL,ATL,2003,49,2003-02-03,L
