franchise,team,year,coaches_text
ATL,ATL,2018,M. Budenholzer (2-9)
ATL,ATL,2017,M. Budenholzer (43-39)
ATL,ATL,2016,M. Budenholzer (48-34)
ATL,ATL,2015,M. Budenholzer (60-22)
ATL,ATL,2014,M. Budenholzer (38-44)
ATL,ATL,2013,L. Drew (44-38)
ATL,ATL,2012,L. Drew (40-26)
ATL,ATL,2011,L. Drew (44-38)
ATL,ATL,2010,M. Woodson (53-29)
ATL,ATL,2009,M. Woodson (47-35)
ATL,ATL,2008,M. Woodson (37-45)
ATL,ATL,2007,M. Woodson (30-52)
ATL,ATL,2006,M. Woodson (26-56)
ATL,ATL,2005,M. Woodson (13-69)
ATL,ATL,2004,T. Stotts (28-54)
ATL,ATL,2003,"L. Kruger (11-16), T. Stotts (24-31)"
ATL,ATL,2002,L. Kruger (33-49)
ATL,ATL,2001,L. Kruger (25-57)
ATL,ATL,2000,L. Wilkens (28-54)
ATL,ATL,1999,L. Wilkens (31-19)
ATL,ATL,1998,L. Wilkens (50-32)
ATL,ATL,1997,L. Wilkens (56-26)
ATL,ATL,1996,L. Wilkens (46-36)
ATL,ATL,1995,L. Wilkens (42-40)
ATL,ATL,1994,L. Wilkens (57-25)
ATL,ATL,1993,B. Weiss (43-39)
ATL,ATL,1992,B. Weiss (38-44)
ATL,ATL,1991,B. Weiss (43-39)
ATL,ATL,1990,M. Fratello (41-41)
ATL,ATL,1989,M. Fratello (52-30)
ATL,ATL,1988,M. Fratello (50-32)
ATL,ATL,1987,M. Fratello (57-25)
ATL,ATL,1986,M. Fratello (50-32)
ATL,ATL,1985,M. Fratello (34-48)
ATL,ATL,1984,M. Fratello (40-42)
ATL,ATL,1983,K. Loughery (43-39)
ATL,ATL,1982,K. Loughery (42-40)
ATL,ATL,1981,"H. Brown (31-48), M. Fratello (0-3)"
ATL,ATL,1980,H. Brown (50-32)
ATL,ATL,1979,H. Brown (46-36)
ATL,ATL,1978,H. Brown (41-41)
ATL,ATL,1977,H. Brown (31-51)
ATL,ATL,1976,"C. Fitzsimmons (28-46), G. Tormohlen (1-7)"
ATL,ATL,1975,C. Fitzsimmons (31-51)
ATL,ATL,1974,C. Fitzsimmons (35-47)
ATL,ATL,1973,C. Fitzsimmons (46-36)
ATL,ATL,1972,R. Guerin (36-46)
ATL,ATL,1971,R. Guerin (36-46)
ATL,ATL,1970,R. Guerin (48-34)
ATL,ATL,1969,R. Guerin (48-34)
ATL,ATL,1968,R. Guerin (56-26)
ATL,ATL,1967,R. Guerin (39-42)
ATL,ATL,1966,R. Guerin (36-44)
ATL,ATL,1965,"H. Gallatin (17-16), R. Guerin (28-19)"
ATL,ATL,1964,H. Gallatin (46-34)
ATL,ATL,1963,H. Gallatin (48-32)
ATL,ATL,1962,"P. Seymour (5-9), A. Levane (20-40), B. Pettit (4-2)"
ATL,ATL,1961,P. Seymour (51-28)
ATL,ATL,1960,E. Macauley (46-29)
ATL,ATL,1959,"A. Phillip (6-4), E. Macauley (43-19)"
ATL,ATL,1958,A. Hannum (41-31)
ATL,ATL,1957,"R. Holzman (14-19), S. Martin (5-3), A. Hannum (15-16)"
ATL,ATL,1956,R. Holzman (33-39)
ATL,ATL,1955,R. Holzman (26-46)
ATL,ATL,1954,"A. Levane (11-35), R. Holzman (10-16)"
ATL,ATL,1953,A. Levane (27-44)
ATL,ATL,1952,D. Moore (17-49)
ATL,ATL,1951,"D. McMillan (9-14), J. Logan (2-1), M. Todorovich (14-28)"
ATL,ATL,1950,"R. Potter (1-6), R. Auerbach (28-29)"
MIL,MIL,2018,J. Kidd (4-6)
MIL,MIL,2017,J. Kidd (42-40)
MIL,MIL,2016,J. Kidd (33-49)
MIL,MIL,2015,J. Kidd (41-41)
MIL,MIL,2014,L. Drew (15-67)
MIL,MIL,2013,"S. Skiles (16-16), J. Boylan (22-28)"
MIL,MIL,2012,S. Skiles (31-35)
MIL,MIL,2011,S. Skiles (35-47)
MIL,MIL,2010,S. Skiles (46-36)
MIL,MIL,2009,S. Skiles (34-48)
MIL,MIL,2008,L. Krystkowiak (26-56)
MIL,MIL,2007,"T. Stotts (23-41), L. Krystkowiak (5-13)"
MIL,MIL,2006,T. Stotts (40-42)
MIL,MIL,2005,T. Porter (30-52)
MIL,MIL,2004,T. Porter (41-41)
MIL,MIL,2003,G. Karl (42-40)
MIL,MIL,2002,G. Karl (41-41)
MIL,MIL,2001,G. Karl (52-30)
MIL,MIL,2000,G. Karl (42-40)
MIL,MIL,1999,G. Karl (28-22)
MIL,MIL,1998,C. Ford (36-46)
MIL,MIL,1997,C. Ford (33-49)
MIL,MIL,1996,M. Dunleavy (25-57)
MIL,MIL,1995,M. Dunleavy (34-48)
MIL,MIL,1994,M. Dunleavy (20-62)
MIL,MIL,1993,M. Dunleavy (28-54)
MIL,MIL,1992,"D. Harris (8-9), F. Hamblen (23-42)"
MIL,MIL,1991,D. Harris (48-34)
MIL,MIL,1990,D. Harris (44-38)
MIL,MIL,1989,D. Harris (49-33)
MIL,MIL,1988,D. Harris (42-40)
MIL,MIL,1987,D. Nelson (50-32)
MIL,MIL,1986,D. Nelson (57-25)
MIL,MIL,1985,D. Nelson (59-23)
MIL,MIL,1984,D. Nelson (50-32)
MIL,MIL,1983,D. Nelson (51-31)
MIL,MIL,1982,D. Nelson (55-27)
MIL,MIL,1981,D. Nelson (60-22)
MIL,MIL,1980,D. Nelson (49-33)
MIL,MIL,1979,D. Nelson (38-44)
MIL,MIL,1978,D. Nelson (44-38)
MIL,MIL,1977,"L. Costello (3-15), D. Nelson (27-37)"
MIL,MIL,1976,L. Costello (38-44)
MIL,MIL,1975,L. Costello (38-44)
MIL,MIL,1974,L. Costello (59-23)
MIL,MIL,1973,L. Costello (60-22)
MIL,MIL,1972,L. Costello (63-19)
MIL,MIL,1971,L. Costello (66-16)
MIL,MIL,1970,L. Costello (56-26)
MIL,MIL,1969,L. Costello (27-55)
MIN,MIN,2018,T. Thibodeau (7-4)
MIN,MIN,2017,T. Thibodeau (31-51)
MIN,MIN,2016,S. Mitchell (29-53)
MIN,MIN,2015,F. Saunders (16-66)
MIN,MIN,2014,R. Adelman (40-42)
MIN,MIN,2013,R. Adelman (31-51)
MIN,MIN,2012,R. Adelman (26-40)
MIN,MIN,2011,K. Rambis (17-65)
MIN,MIN,2010,K. Rambis (15-67)
MIN,MIN,2009,"R. Wittman (4-15), K. McHale (20-43)"
MIN,MIN,2008,R. Wittman (22-60)
MIN,MIN,2007,"D. Casey (20-20), R. Wittman (12-30)"
MIN,MIN,2006,D. Casey (33-49)
MIN,MIN,2005,"F. Saunders (25-26), K. McHale (19-12)"
