coach,teams,poc
Al Golden,miami-fl,no
Art Briles,baylor,no
Barry Alvarez,wisconsin,no
Bill Callahan,nebraska,no
Bill O'Brien,penn-state,no
Bill Snyder,kansas-state,no
Bill Stewart,west-virginia,no
Bo Pelini,nebraska,no
Bob Stoops,oklahoma,no
Bob Toledo,ucla,no
Bobby Bowden,florida-state,no
Bobby Petrino,louisville|arkansas,no
Brady Hoke,michigan,no
Bret Bielema,wisconsin|arkansas,no
Brian Kelly,notre-dame,no
Bronco Mendenhall,virginia,no
Bruce Snyder,arizona-state,no
Cam Cameron,indiana,no
Charlie Weis,kansas|notre-dame,no
Chip Kelly,oregon,no
Chris Petersen,washington,no
Clay Helton,southern-california,no
Dabo Swinney,clemson,no
Dan Hawkins,colorado,no
Dana Holgorsen,west-virginia,no
Dave Wannstedt,pittsburgh,no
Dennis Erickson,arizona-state|oregon-state,no
Dennis Franchione,alabama|texas-am|texas-christian,no
Derek Dooley,tennessee,no
Dirk Koetter,arizona-state,no
Ed Orgeron,southern-california|mississippi|louisiana-state,no
Gary Andersen,wisconsin|oregon-state,no
George O'Leary,georgia-tech,no
Gus Malzahn,auburn,no
Houston Nutt,mississippi|arkansas,no
Hugh Freeze,mississippi,no
Jeff Tedford,california,no
Jerry Kill,minnesota,no
Jim Grobe,baylor|wake-forest,no
Jim Harbaugh,michigan|stanford,no
Jim McElwain,florida,no
Jim Mora,ucla,no
Jim Tressel,ohio-state,no
Joe Paterno,penn-state,no
Kirk Ferentz,iowa,no
Kliff Kingsbury,texas-tech,no
Kyle Whittingham,utah,no
Lane Kiffin,southern-california|tennessee,no
Les Miles,oklahoma-state|louisiana-state,no
Lloyd Carr,michigan,no
Lou Holtz,south-carolina,no
Luke Fickell,ohio-state,no
Mack Brown,texas,no
Mark Dantonio,michigan-state,no
Mark Helfrich,oregon,no
Mark Mangino,kansas,no
Mark Richt,georgia|miami-fl,no
Mark Stoops,kentucky,no
Mike Bellotti,oregon,no
Mike Gundy,oklahoma-state,no
Mike Leach,washington-state|texas-tech,no
Mike Riley,nebraska|oregon-state,no
Nick Saban,alabama|louisiana-state,no
Paul Wulff,washington-state,no
Pete Carroll,southern-california,no
Phillip Fulmer,tennessee,no
Ralph Friedgen,maryland,no
Randy Edsall,maryland,no
Rich Rodriguez,michigan|arizona|west-virginia,no
Rick Neuheisel,washington|ucla,no
Ron Zook,florida|illinois,no
Sonny Dykes,california,no
Steve Sarkisian,southern-california|washington,no
Steve Spurrier,florida|south-carolina,no
Todd Graham,pittsburgh|arizona-state,no
Tom Bradley,penn-state,no
Tommy Bowden,clemson,no
Tommy Tuberville,texas-tech|auburn,no
Urban Meyer,utah|ohio-state|florida,no
Will Muschamp,florida|south-carolina,no
