team,year,coaches_text,name,wins,losses,total_games,order,correct_order
alabama,2016,Nick Saban (14-1),Nick Saban,14,1,15,1,
alabama,2015,Nick Saban (14-1),Nick Saban,14,1,15,1,
alabama,2014,Nick Saban (12-2),Nick Saban,12,2,14,1,
alabama,2013,Nick Saban (11-2),Nick Saban,11,2,13,1,
alabama,2012,Nick Saban (13-1),Nick Saban,13,1,14,1,
alabama,2011,Nick Saban (12-1),Nick Saban,12,1,13,1,
alabama,2010,Nick Saban (10-3),Nick Saban,10,3,13,1,
alabama,2009,Nick Saban (14-0),Nick Saban,14,0,14,1,
alabama,2008,Nick Saban (12-2),Nick Saban,12,2,14,1,
alabama,2007,Nick Saban (7-6),Nick Saban,7,6,13,1,
alabama,2006,"Mike Shula (6-6), Joe Kines (0-1)",Joe Kines,0,1,1,2,
alabama,2006,"Mike Shula (6-6), Joe Kines (0-1)",Mike Shula,6,6,12,1,
alabama,2005,Mike Shula (10-2),Mike Shula,10,2,12,1,
alabama,2004,Mike Shula (6-6),Mike Shula,6,6,12,1,
alabama,2003,Mike Shula (4-9),Mike Shula,4,9,13,1,
alabama,2002,Dennis Franchione (10-3),Dennis Franchione,10,3,13,1,
alabama,2001,Dennis Franchione (7-5),Dennis Franchione,7,5,12,1,
alabama,2000,Mike DuBose (3-8),Mike DuBose,3,8,11,1,
arizona,2016,Rich Rodriguez (3-9),Rich Rodriguez,3,9,12,1,
arizona,2015,Rich Rodriguez (7-6),Rich Rodriguez,7,6,13,1,
arizona,2014,Rich Rodriguez (10-4),Rich Rodriguez,10,4,14,1,
arizona,2013,Rich Rodriguez (8-5),Rich Rodriguez,8,5,13,1,
arizona,2012,Rich Rodriguez (8-5),Rich Rodriguez,8,5,13,1,
arizona,2011,"Mike Stoops (1-5), Tim Kish (3-3)",Tim Kish,3,3,6,2,
arizona,2011,"Mike Stoops (1-5), Tim Kish (3-3)",Mike Stoops,1,5,6,1,
arizona,2010,Mike Stoops (7-6),Mike Stoops,7,6,13,1,
arizona,2009,Mike Stoops (8-5),Mike Stoops,8,5,13,1,
arizona,2008,Mike Stoops (8-5),Mike Stoops,8,5,13,1,
arizona,2007,Mike Stoops (5-7),Mike Stoops,5,7,12,1,
arizona,2006,Mike Stoops (6-6),Mike Stoops,6,6,12,1,
arizona,2005,Mike Stoops (3-8),Mike Stoops,3,8,11,1,
arizona,2004,Mike Stoops (3-8),Mike Stoops,3,8,11,1,
arizona,2003,"John Mackovic (1-4), Mike Hankwitz (1-6)",Mike Hankwitz,1,6,7,2,
arizona,2003,"John Mackovic (1-4), Mike Hankwitz (1-6)",John Mackovic,1,4,5,1,
arizona,2002,John Mackovic (4-8),John Mackovic,4,8,12,1,
arizona,2001,John Mackovic (5-6),John Mackovic,5,6,11,1,
arizona,2000,Dick Tomey (5-6),Dick Tomey,5,6,11,1,
arizona-state,2016,Todd Graham (5-7),Todd Graham,5,7,12,1,
arizona-state,2015,Todd Graham (6-7),Todd Graham,6,7,13,1,
arizona-state,2014,Todd Graham (10-3),Todd Graham,10,3,13,1,
arizona-state,2013,Todd Graham (10-4),Todd Graham,10,4,14,1,
arizona-state,2012,Todd Graham (8-5),Todd Graham,8,5,13,1,
arizona-state,2011,Dennis Erickson (6-7),Dennis Erickson,6,7,13,1,
arizona-state,2010,Dennis Erickson (6-6),Dennis Erickson,6,6,12,1,
arizona-state,2009,Dennis Erickson (4-8),Dennis Erickson,4,8,12,1,
arizona-state,2008,Dennis Erickson (5-7),Dennis Erickson,5,7,12,1,
arizona-state,2007,Dennis Erickson (10-3),Dennis Erickson,10,3,13,1,
arizona-state,2006,Dirk Koetter (7-6),Dirk Koetter,7,6,13,1,
arizona-state,2005,Dirk Koetter (7-5),Dirk Koetter,7,5,12,1,
arizona-state,2004,Dirk Koetter (9-3),Dirk Koetter,9,3,12,1,
arizona-state,2003,Dirk Koetter (5-7),Dirk Koetter,5,7,12,1,
arizona-state,2002,Dirk Koetter (8-6),Dirk Koetter,8,6,14,1,
arizona-state,2001,Dirk Koetter (4-7),Dirk Koetter,4,7,11,1,
arizona-state,2000,Bruce Snyder (6-6),Bruce Snyder,6,6,12,1,
arkansas,2016,Bret Bielema (7-6),Bret Bielema,7,6,13,1,
arkansas,2015,Bret Bielema (8-5),Bret Bielema,8,5,13,1,
arkansas,2014,Bret Bielema (7-6),Bret Bielema,7,6,13,1,
arkansas,2013,Bret Bielema (3-9),Bret Bielema,3,9,12,1,
arkansas,2012,John Smith (4-8),John Smith,4,8,12,1,
arkansas,2011,Bobby Petrino (11-2),Bobby Petrino,11,2,13,1,
arkansas,2010,Bobby Petrino (10-3),Bobby Petrino,10,3,13,1,
arkansas,2009,Bobby Petrino (8-5),Bobby Petrino,8,5,13,1,
arkansas,2008,Bobby Petrino (5-7),Bobby Petrino,5,7,12,1,
arkansas,2007,"Houston Nutt (8-4), Reggie Herring (0-1)",Reggie Herring,0,1,1,2,
arkansas,2007,"Houston Nutt (8-4), Reggie Herring (0-1)",Houston Nutt,8,4,12,1,
arkansas,2006,Houston Nutt (10-4),Houston Nutt,10,4,14,1,
arkansas,2005,Houston Nutt (4-7),Houston Nutt,4,7,11,1,
arkansas,2004,Houston Nutt (5-6),Houston Nutt,5,6,11,1,
arkansas,2003,Houston Nutt (9-4),Houston Nutt,9,4,13,1,
arkansas,2002,Houston Nutt (9-5),Houston Nutt,9,5,14,1,
arkansas,2001,Houston Nutt (7-5),Houston Nutt,7,5,12,1,
arkansas,2000,Houston Nutt (6-6),Houston Nutt,6,6,12,1,
auburn,2016,Gus Malzahn (8-5),Gus Malzahn,8,5,13,1,
auburn,2015,Gus Malzahn (7-6),Gus Malzahn,7,6,13,1,
auburn,2014,Gus Malzahn (8-5),Gus Malzahn,8,5,13,1,
auburn,2013,Gus Malzahn (12-2),Gus Malzahn,12,2,14,1,
auburn,2012,Gene Chizik (3-9),Gene Chizik,3,9,12,1,
auburn,2011,Gene Chizik (8-5),Gene Chizik,8,5,13,1,
auburn,2010,Gene Chizik (14-0),Gene Chizik,14,0,14,1,
auburn,2009,Gene Chizik (8-5),Gene Chizik,8,5,13,1,
auburn,2008,Tommy Tuberville (5-7),Tommy Tuberville,5,7,12,1,
auburn,2007,Tommy Tuberville (9-4),Tommy Tuberville,9,4,13,1,
auburn,2006,Tommy Tuberville (11-2),Tommy Tuberville,11,2,13,1,
auburn,2005,Tommy Tuberville (9-3),Tommy Tuberville,9,3,12,1,
auburn,2004,Tommy Tuberville (13-0),Tommy Tuberville,13,0,13,1,
auburn,2003,Tommy Tuberville (8-5),Tommy Tuberville,8,5,13,1,
auburn,2002,Tommy Tuberville (9-4),Tommy Tuberville,9,4,13,1,
auburn,2001,Tommy Tuberville (7-5),Tommy Tuberville,7,5,12,1,
auburn,2000,Tommy Tuberville (9-4),Tommy Tuberville,9,4,13,1,
baylor,2016,Jim Grobe (7-6),Jim Grobe,7,6,13,1,
baylor,2015,Art Briles (10-3),Art Briles,10,3,13,1,
baylor,2014,Art Briles (11-2),Art Briles,11,2,13,1,
baylor,2013,Art Briles (11-2),Art Briles,11,2,13,1,
baylor,2012,Art Briles (8-5),Art Briles,8,5,13,1,
baylor,2011,Art Briles (10-3),Art Briles,10,3,13,1,
baylor,2010,Art Briles (7-6),Art Briles,7,6,13,1,
baylor,2009,Art Briles (4-8),Art Briles,4,8,12,1,
