team,year,coaches_text
alabama,2017,Nick Saban (6-0)
alabama,2016,Nick Saban (14-1)
alabama,2015,Nick Saban (14-1)
alabama,2014,Nick Saban (12-2)
alabama,2013,Nick Saban (11-2)
alabama,2012,Nick Saban (13-1)
alabama,2011,Nick Saban (12-1)
alabama,2010,Nick Saban (10-3)
alabama,2009,Nick Saban (14-0)
alabama,2008,Nick Saban (12-2)
alabama,2007,Nick Saban (7-6)
alabama,2006,"Mike Shula (6-6), Joe Kines (0-1)"
alabama,2005,Mike Shula (10-2)
alabama,2004,Mike Shula (6-6)
alabama,2003,Mike Shula (4-9)
alabama,2002,Dennis Franchione (10-3)
alabama,2001,Dennis Franchione (7-5)
alabama,2000,Mike DuBose (3-8)
alabama,1999,Mike DuBose (10-3)
alabama,1998,Mike DuBose (7-5)
alabama,1997,Mike DuBose (4-7)
alabama,1996,Gene Stallings (10-3)
alabama,1995,Gene Stallings (8-3)
alabama,1994,Gene Stallings (12-1)
alabama,1993,Gene Stallings (9-3-1)
alabama,1992,Gene Stallings (13-0)
alabama,1991,Gene Stallings (11-1)
alabama,1990,Gene Stallings (7-5)
alabama,1989,Bill Curry (10-2)
alabama,1988,Bill Curry (9-3)
alabama,1987,Bill Curry (7-5)
alabama,1986,Ray Perkins (10-3)
alabama,1985,Ray Perkins (9-2-1)
alabama,1984,Ray Perkins (5-6)
alabama,1983,Ray Perkins (8-4)
alabama,1982,Bear Bryant (8-4)
alabama,1981,Bear Bryant (9-2-1)
alabama,1980,Bear Bryant (10-2)
alabama,1979,Bear Bryant (12-0)
alabama,1978,Bear Bryant (11-1)
alabama,1977,Bear Bryant (11-1)
alabama,1976,Bear Bryant (9-3)
alabama,1975,Bear Bryant (11-1)
alabama,1974,Bear Bryant (11-1)
alabama,1973,Bear Bryant (11-1)
alabama,1972,Bear Bryant (10-2)
alabama,1971,Bear Bryant (11-1)
alabama,1970,Bear Bryant (6-5-1)
alabama,1969,Bear Bryant (6-5)
alabama,1968,Bear Bryant (8-3)
alabama,1967,Bear Bryant (8-2-1)
alabama,1966,Bear Bryant (11-0)
alabama,1965,Bear Bryant (9-1-1)
alabama,1964,Bear Bryant (10-1)
alabama,1963,Bear Bryant (9-2)
alabama,1962,Bear Bryant (10-1)
alabama,1961,Bear Bryant (11-0)
alabama,1960,Bear Bryant (8-1-2)
alabama,1959,Bear Bryant (7-2-2)
alabama,1958,Bear Bryant (5-4-1)
alabama,1957,Jennings Whitworth (2-7-1)
alabama,1956,Jennings Whitworth (2-7-1)
alabama,1955,Jennings Whitworth (0-10)
alabama,1954,Red Drew (4-5-2)
alabama,1953,Red Drew (6-3-3)
alabama,1952,Red Drew (10-2)
alabama,1951,Red Drew (5-6)
alabama,1950,Red Drew (9-2)
alabama,1949,Red Drew (6-3-1)
alabama,1948,Red Drew (6-4-1)
alabama,1947,Red Drew (8-3)
alabama,1946,Frank Thomas (7-4)
alabama,1945,Frank Thomas (10-0)
alabama,1944,Frank Thomas (5-2-2)
alabama,1942,Frank Thomas (8-3)
alabama,1941,Frank Thomas (9-2)
alabama,1940,Frank Thomas (7-2)
alabama,1939,Frank Thomas (5-3-1)
alabama,1938,Frank Thomas (7-1-1)
alabama,1937,Frank Thomas (9-1)
alabama,1936,Frank Thomas (8-0-1)
alabama,1935,Frank Thomas (6-2-1)
alabama,1934,Frank Thomas (10-0)
alabama,1933,Frank Thomas (7-1-1)
alabama,1932,Frank Thomas (8-2)
alabama,1931,Frank Thomas (9-1)
alabama,1930,Wallace Wade (10-0)
alabama,1929,Wallace Wade (6-3)
alabama,1928,Wallace Wade (6-3)
alabama,1927,Wallace Wade (5-4-1)
alabama,1926,Wallace Wade (9-0-1)
alabama,1925,Wallace Wade (10-0)
alabama,1924,Wallace Wade (8-1)
alabama,1923,Wallace Wade (7-2-1)
alabama,1922,Xen Scott (6-3-1)
alabama,1921,Xen Scott (5-4-2)
alabama,1920,Xen Scott (10-1)
alabama,1919,Xen Scott (8-1)
alabama,1917,Thomas Kelley (5-2-1)
alabama,1916,Thomas Kelley (6-3)
alabama,1915,Thomas Kelley (6-2)
alabama,1914,Tubby Graves (5-4)
alabama,1913,Tubby Graves (6-3)
alabama,1912,Tubby Graves (5-3-1)
alabama,1911,Tubby Graves (5-2-2)
alabama,1910,Guy Lowman (4-4)
alabama,1909,J.W.H. Pollard (5-1-2)
alabama,1908,J.W.H. Pollard (6-1-1)
alabama,1907,J.W.H. Pollard (5-1-2)
alabama,1906,J.W.H. Pollard (5-1)
alabama,1905,Jack Leavenworth (6-4)
alabama,1904,W.B. Blount (7-3)
alabama,1903,W.B. Blount (3-4)
alabama,1902,Eli Abbott (4-4)
arizona,2017,Rich Rodriguez (3-2)
arizona,2016,Rich Rodriguez (3-9)
arizona,2015,Rich Rodriguez (7-6)
arizona,2014,Rich Rodriguez (10-4)
arizona,2013,Rich Rodriguez (8-5)
arizona,2012,Rich Rodriguez (8-5)
arizona,2011,"Mike Stoops (1-5), Tim Kish (3-3)"
arizona,2010,Mike Stoops (7-6)
arizona,2009,Mike Stoops (8-5)
arizona,2008,Mike Stoops (8-5)
arizona,2007,Mike Stoops (5-7)
arizona,2006,Mike Stoops (6-6)
arizona,2005,Mike Stoops (3-8)
arizona,2004,Mike Stoops (3-8)
arizona,2003,"John Mackovic (1-4), Mike Hankwitz (1-6)"
arizona,2002,John Mackovic (4-8)
arizona,2001,John Mackovic (5-6)
arizona,2000,Dick Tomey (5-6)
arizona,1999,Dick Tomey (6-6)
arizona,1998,Dick Tomey (12-1)
arizona,1997,Dick Tomey (7-5)
arizona,1996,Dick Tomey (5-6)
arizona,1995,Dick Tomey (6-5)
arizona,1994,Dick Tomey (8-4)
arizona,1993,Dick Tomey (10-2)
arizona,1992,Dick Tomey (6-5-1)
arizona,1991,Dick Tomey (4-7)
arizona,1990,Dick Tomey (7-5)
arizona,1989,Dick Tomey (8-4)
arizona,1988,Dick Tomey (7-4)
arizona,1987,Dick Tomey (4-4-3)
arizona,1986,Larry Smith (9-3)
arizona,1985,Larry Smith (8-3-1)
arizona,1984,Larry Smith (7-4)
arizona,1983,Larry Smith (7-3-1)
arizona,1982,Larry Smith (6-4-1)
arizona,1981,Larry Smith (6-5)
arizona,1980,Larry Smith (5-6)
arizona,1979,Tony Mason (6-5-1)
arizona,1978,Tony Mason (5-6)
arizona,1977,Tony Mason (5-7)
arizona,1976,Jim Young (5-6)
arizona,1975,Jim Young (9-2)
arizona,1974,Jim Young (9-2)
arizona,1973,Jim Young (8-3)
arizona,1972,Bob Weber (4-7)
arizona,1971,Bob Weber (5-6)
arizona,1970,Bob Weber (4-6)
arizona,1969,Bob Weber (3-7)
arizona,1968,Darrell Mudra (8-3)
arizona,1967,Darrell Mudra (3-6-1)
arizona,1966,Jim LaRue (3-7)
arizona,1965,Jim LaRue (3-7)
arizona,1964,Jim LaRue (6-3-1)
arizona,1963,Jim LaRue (5-5)
arizona,1962,Jim LaRue (5-5)
arizona,1961,Jim LaRue (8-1-1)
arizona,1960,Jim LaRue (7-3)
arizona,1959,Jim LaRue (4-6)
arizona,1958,Edward Doherty (3-7)
arizona,1957,Edward Doherty (1-8-1)
arizona,1956,Warren Woodson (4-6)
arizona,1955,Warren Woodson (5-4-1)
arizona,1954,Warren Woodson (7-3)
arizona,1953,Warren Woodson (4-5-1)
arizona,1952,Warren Woodson (6-4)
arizona,1951,Robert Winslow (6-5)
arizona,1950,Robert Winslow (4-6)
arizona,1949,Robert Winslow (2-7-1)
arizona,1948,Miles Casteel (6-5)
arizona,1947,Miles Casteel (5-4-1)
arizona,1946,Miles Casteel (4-4-2)
arizona,1942,Miles Casteel (6-4)
arizona,1941,Miles Casteel (7-3)
arizona,1940,Miles Casteel (7-2)
arizona,1939,Miles Casteel (6-4)
arizona,1938,Orian Landreth (3-6)
arizona,1937,Tex Oliver (8-2)
arizona,1936,Tex Oliver (5-2-3)
arizona,1935,Tex Oliver (7-2)
arizona,1934,Tex Oliver (7-2-1)
arizona,1933,Tex Oliver (5-3)
arizona,1932,Gus Farwick (4-5)
arizona,1931,Fred Enke (3-5-1)
arizona-state,2017,Todd Graham (2-3)
arizona-state,2016,Todd Graham (5-7)
arizona-state,2015,Todd Graham (6-7)
arizona-state,2014,Todd Graham (10-3)
arizona-state,2013,Todd Graham (10-4)
arizona-state,2012,Todd Graham (8-5)
arizona-state,2011,Dennis Erickson (6-7)
arizona-state,2010,Dennis Erickson (6-6)
arizona-state,2009,Dennis Erickson (4-8)
arizona-state,2008,Dennis Erickson (5-7)
arizona-state,2007,Dennis Erickson (10-3)
arizona-state,2006,Dirk Koetter (7-6)
arizona-state,2005,Dirk Koetter (7-5)
arizona-state,2004,Dirk Koetter (9-3)
arizona-state,2003,Dirk Koetter (5-7)
arizona-state,2002,Dirk Koetter (8-6)
arizona-state,2001,Dirk Koetter (4-7)
arizona-state,2000,Bruce Snyder (6-6)
arizona-state,1999,Bruce Snyder (6-6)
arizona-state,1998,Bruce Snyder (5-6)
arizona-state,1997,Bruce Snyder (9-3)
arizona-state,1996,Bruce Snyder (11-1)
arizona-state,1995,Bruce Snyder (6-5)
arizona-state,1994,Bruce Snyder (3-8)
arizona-state,1993,Bruce Snyder (6-5)
arizona-state,1992,Bruce Snyder (6-5)
arizona-state,1991,Larry Marmie (6-5)
arizona-state,1990,Larry Marmie (4-7)
arizona-state,1989,Larry Marmie (6-4-1)
arizona-state,1988,Larry Marmie (6-5)
arizona-state,1987,John Cooper (7-4-1)
arizona-state,1986,John Cooper (10-1-1)
arizona-state,1985,John Cooper (8-4)
arizona-state,1984,Darryl Rogers (5-6)
arizona-state,1983,Darryl Rogers (6-4-1)
arizona-state,1982,Darryl Rogers (10-2)
arizona-state,1981,Darryl Rogers (9-2)
arizona-state,1980,Darryl Rogers (7-4)
arizona-state,1979,"Frank Kush (3-2), Bob Owens (3-4)"
arizona-state,1978,Frank Kush (9-3)
arizona-state,1977,Frank Kush (9-3)
arizona-state,1976,Frank Kush (4-7)
arizona-state,1975,Frank Kush (12-0)
arizona-state,1974,Frank Kush (7-5)
arizona-state,1973,Frank Kush (11-1)
arizona-state,1972,Frank Kush (10-2)
arizona-state,1971,Frank Kush (11-1)
arizona-state,1970,Frank Kush (11-0)
arizona-state,1969,Frank Kush (8-2)
arizona-state,1968,Frank Kush (8-2)
arizona-state,1967,Frank Kush (8-2)
arizona-state,1966,Frank Kush (5-5)
arizona-state,1965,Frank Kush (6-4)
arizona-state,1964,Frank Kush (8-2)
arizona-state,1963,Frank Kush (8-1)
arizona-state,1962,Frank Kush (7-2-1)
arizona-state,1961,Frank Kush (7-3)
arizona-state,1960,Frank Kush (7-3)
arizona-state,1959,Frank Kush (10-1)
arizona-state,1958,Frank Kush (7-3)
arizona-state,1957,Dan Devine (10-0)
arizona-state,1956,Dan Devine (9-1)
arizona-state,1955,Dan Devine (8-2-1)
arizona-state,1954,Clyde Smith (5-5)
arizona-state,1953,Clyde Smith (4-5-1)
arizona-state,1952,Clyde Smith (6-3)
arizona-state,1951,Larry Siemering (6-3-1)
arizona-state,1950,Edward Doherty (9-2)
arizona-state,1949,Edward Doherty (7-3)
arizona-state,1948,Edward Doherty (5-5)
arizona-state,1947,Edward Doherty (4-7)
arizona-state,1946,Steve Coutchie (2-7-2)
arizona-state,1942,Hilman Walker (2-8)
arizona-state,1941,Dixie Howell (5-5-1)
arizona-state,1940,Dixie Howell (7-2-2)
arizona-state,1939,Dixie Howell (8-2-1)
arizona-state,1938,Dixie Howell (3-6)
arizona-state,1937,Rudy Lavik (0-8-1)
arizona-state,1936,Rudy Lavik (4-5)
arizona-state,1935,Rudy Lavik (2-5-1)
arizona-state,1934,Rudy Lavik (4-3-1)
arizona-state,1933,Rudy Lavik (3-5)
arizona-state,1932,Ted Shipkey (4-3-1)
arizona-state,1931,Ted Shipkey (6-2)
arkansas,2017,Bret Bielema (2-3)
arkansas,2016,Bret Bielema (7-6)
arkansas,2015,Bret Bielema (8-5)
arkansas,2014,Bret Bielema (7-6)
arkansas,2013,Bret Bielema (3-9)
arkansas,2012,John Smith (4-8)
arkansas,2011,Bobby Petrino (11-2)
arkansas,2010,Bobby Petrino (10-3)
arkansas,2009,Bobby Petrino (8-5)
arkansas,2008,Bobby Petrino (5-7)
arkansas,2007,"Houston Nutt (8-4), Reggie Herring (0-1)"
arkansas,2006,Houston Nutt (10-4)
arkansas,2005,Houston Nutt (4-7)
arkansas,2004,Houston Nutt (5-6)
arkansas,2003,Houston Nutt (9-4)
arkansas,2002,Houston Nutt (9-5)
arkansas,2001,Houston Nutt (7-5)
arkansas,2000,Houston Nutt (6-6)
arkansas,1999,Houston Nutt (8-4)
arkansas,1998,Houston Nutt (9-3)
