date|team|acquired|relinquished|notes
1904-06-05|White Sox|Fielder Jones||hired as manager
1907-06-29|Red Sox|Deacon McGuire||claimed off waivers (from Yankees) (McGuire was named Red Sox manager)
1913-12-12|Giants|Bob Bescher||trade with Reds (Hartley jumped to Federal League and Herzog was made Reds manager)
1913-12-12|Reds||Bob Bescher|trade with Giants  (Hartley jumped to Federal League and Herzog was made Reds manager)
1923-11-12|Braves|Dave Bancroft||hired as manager (player/manager?)
1927-12-10|Indians|Roger Peckinpaugh||hired as manager
1929-09-25|Yankees||Miller Huggins|manager died
1933-11-15|Phillies|Jimmie Wilson / Jimmy Wilson||hired as manager
1934-01-02|Phillies|Jimmie Wilson / Jimmy Wilson||hired as manager, signed to a 2-year contract
1934-01-11|Reds|Bob O'Farrell||hired as manager (in addition to player)
1934-05-15|White Sox||Lew Fonseca|replaced as manager
1934-05-15|White Sox|Jimmy Dykes||hired as manager
1940-11-13|Indians|Roger Peckinpaugh||hired as manager
1946-05-24|White Sox||Jimmy Dykes|resigned as manager
1946-05-24|White Sox|Ted Lyons||hired as manager
1948-10-12|Yankees||Bucky Harris|replaced as manager
1948-10-12|Yankees|Casey Stengel||hired as manager
1951-12-11|Cardinals|Eddie Stanky|Chuck Diering, Max Lanier|trade with Giants (Stanky was hired as manager)
1952-02-11|Tigers|Red Rolfe||signed as manager to a 1-year contract
1953-08-02|Cardinals|Eddie Stanky||re-signed as manager to a contract extension through 1956
1954-09-10|White Sox||Paul Richards|resigned as manager
1956-10-29|White Sox||Marty Marion|replaced as manager
1956-10-29|White Sox|Al Lopez||hired as manager
1961-06-23|Twins||Cookie Lavagetto|fired as manager
1961-06-23|Twins|Sam Mele||hired as manager
1962-09-06|Cardinals|Johnny Keane||re-signed as manager to a 1-year contract
1965-11-11|White Sox||Al Lopez|resigned as manager
1965-12-12|Astros||Luman Harris / Lum Harris|fired as manager
1965-12-12|Astros|Grady Hatton||promoted to manager
1967-11-27|Mets|Gil Hodges||hired as manager
1968-06-18|Astros||Grady Hatton|fired as manager
1970-05-23|Giants||Clyde King|fired as manager
1970-05-23|Giants|Charlie Fox||promoted to manager
1970-11-30|Cubs|Jim Marshall||promoted to AAA manager
1970-11-30|Cubs|Walt Dixon||promoted to AA manager
1971-11-01|Tigers|Fred Hatfield||hired as AA manager
1972-04-27|Padres|Don Zimmer||hired as manager
1972-05-27|Brewers||Dave Bristol|fired as manager
1972-09-18|Padres|Don Zimmer||re-signed as manager to a 1-year contract
1973-08-14|Brewers|Del Crandall||re-signed as manager to a 1-year contract through 1974
1973-09-30|Yankees||Ralph Houk|resigned as manager
1973-10-24|Mets|Yogi Berra||re-signed as manager to a 3-year, estimated $75K/year contract extension
1973-10-29|Cardinals|Bobby Dews||hired as minor league manager
1973-10-29|Cardinals|Roy Majtyka||hired as minor league manager
1973-10-29|Cardinals|Ken Boyer||hired as AAA manager
1973-10-29|Cardinals|Lee Thomas||hired as minor league (AA?) manager
1973-10-29|Cardinals|Tom Burgess||hired as minor league manager
1973-11-27|Cubs|Mike Roarke||hired as AAA manager
1974-09-12|Angels||Bill Gilbreth|trade with Indians as comensation for manager Frank Robinson
1974-09-12|Indians|Bill Gilbreth||trade with Angels as compensation for manager Frank Robinson
1974-10-19|Athletics|Alvin Dark||re-signed as manager to a 1-year contract
1975-06-15|||Clint Courtney|minor leauge manager died
