date|team|acquired|relinquished|notes
2000-07-01|Spurs|Joe Prunty||promoted to assistant coach / video coordinator (date approximate)
2000-07-09|Hawks|Garfield Heard||hired as assistant coach
2000-07-11|Mavericks|Rolando Blackman||hired as assistant coach
2000-07-11|Timberwolves|Don Zierden||hired as assistant coach
2000-07-11|Timberwolves|Jimmy Williams||hired as assistant coach
2000-07-13|Raptors|Brian James||hired as assistant coach
2000-07-13|Raptors|Craig Neal||hired as assistant coach
2000-07-13|Raptors|Jim Brewer||hired as assistant coach
2000-07-13|Raptors|Stan Albeck||hired as assistant coach
2000-07-17|Grizzlies|Michael Adams||hired as assistant coach
2000-07-20|Pacers|Isiah Thomas||hired as head coach, signed to a reported 4-year, $20M contract
2000-08-07|Bulls|Norm Ellenberger||hired as assistant coach
2000-08-08|Cavaliers|Keith Smart||hired as assistant coach and director of player development
2000-08-10|Clippers|Alvin Gentry||hired as head coach, signed to a 4-year contract
2000-08-11|Pistons|Dave Twardzik||hired as assistant coach
2000-08-11|Pistons|Mike Sanders||hired as assistant coach
2000-08-18|Pacers|Brendan Malone||hired as assistant coach
2000-08-18|Pacers|Jim Stack||hired as assistant coach
2000-08-22|Pacers|Wayne Rollins / Tree Rollins||hired as assistant coach
2000-08-23|Grizzlies|Bob Staak||hired as assistant coach
2000-08-23|Pistons||John Hammond|resigned as assistant coach (date approximate)
2000-08-24|Clippers||Kareem Abdul-Jabbar / Lew Alcindor|fired as assistant coach
2000-08-24|Clippers|Dennis Johnson||hired as assistant coach
2000-08-24|Clippers|John Hammond||hired as assistant coach
2000-08-24|Clippers|Rex Kalamian||hired as assistant coach
2000-08-25|Spurs|Mike Brown (c)||hired as assistant coach and director of player development
2000-09-01|Knicks|Kevin O'Neill||hired as assistant coach
2000-09-18|Kings|Elston Turner||hired as assistant coach
2000-09-25|Knicks|Steve Clifford||hired as assistant coach/scout
2000-09-27|Kings|Rick Adelman||re-signed as head coach to a 1-year contract extension through 2001-02
2000-09-29|Cavaliers||Bill Blair|retired as assistant coach
2000-09-30|Pacers|Vern Fleming||hired as assistant coach
2000-10-02|Celtics||Andy Enfield|resigned as assistant coach
2000-10-03|Blazers|Neal Mayer||hired as assistant coach / scout
2000-10-03|Blazers|Mike D'Antoni||hired as assistant coach / scout
2000-10-23|Hawks||Gary Wortman|assistant coach / scout died
2000-11-27|Sonics||Paul Westphal|fired as head coach
2000-11-27|Sonics|Nate McMillan||promoted to interim head coach
2000-12-20|Kings|Rick Adelman||re-signed as head coach to a 2-year contract extension through 2003-04
2001-01-05|Sonics|Nate McMillan||promoted to head coach
2001-01-08|Celtics||Rick Pitino|resigned as head coach & president
2001-01-08|Celtics|Jim O'Brien||promoted to interim head coach
2001-02-02|Jazz|Jerry Sloan||re-signed as head coach to a 3-year contract extension through 2003-04
2001-03-27|Sonics|Nate McMillan||re-signed as head coach to a 4-year, estimated $10.8M contract extension through 2004-05
2001-03-28|Bucks|George Karl||re-signed as head coach to a reported 2-year, $14M contract extension through 2003-04
2001-04-18|Wizards||Leonard Hamilton|fired/resigned as head coach
2001-04-19|Cavaliers||Mike Woodson|fired as assistant coach
2001-04-19|Cavaliers||Randy Wittman|fired as head coach
2001-04-19|Pistons||George Irvine|fired as head coach
2001-04-19|Wizards|Doug Collins||hired as head coach
2001-04-20|Magic|Glenn Rivers / Doc Rivers||re-signed as head coach to a 2-year, reported $10M contract extension through 2004-05
2001-04-24|Celtics|Jim O'Brien||promoted from interim head coach to head coach and signed to a 3-year contract
2001-05-08|Blazers||Mike Dunleavy Sr.|fired as head coach
2001-05-14|Celtics|Dick Harter||hired as assistant coach
2001-05-14|Clippers||John Hammond|resigned as assistant coach (date approximate)
2001-05-18|Pistons|Bob Ociepka||hired as assistant coach
2001-05-25|Pistons|Rick Carlisle||hired as head coach
2001-06-01|Sonics|Dean Demopoulos||hired as assistant coach
2001-06-07|Wizards|Brian James||hired as assistant coach
2001-06-15|Hornets||Lee Rose|resigned/retired as assistant coach
2001-06-19|Cavaliers|John Lucas Sr.||hired as head coach, signed to a reported 3-year, $8-9M contract
2001-06-20|Timberwolves|Phil Saunders / Flip Saunders||re-signed head coach to a 2-year contract extension through 2005-06
2001-06-26|Pistons|Kevin O'Neill||hired as assistant coach
2001-06-27|Blazers|Maurice Cheeks||hired as head coach
2001-06-27|Lakers|Bill Bertka||re-signed as assistant coach to a 1-year contract extension
