date|team|acquired|relinquished|notes
1922-02-01|Packers|Earl Lambeau / Curly Lambeau||hired as head coach & GM (date approximate)
1925-07-01|Cardinals|Norman Barry||hired as head coach (date approximate)
1929-08-01|Cardinals|Ernie Nevers||un-retired - hired as head player/coach (date approximate)
1930-01-01|Bears||George Halas (S.)|resigned as head coach (date approximate)
1930-01-01|Bears|Ralph Jones||hired as head coach (date approximate)
1932-07-01|Cardinals||Ernie Nevers|retired as player & coach (date approximate)
1932-07-01|Redskins|Lud Wray||hired as head coach (date approximate)
1933-01-01|Bears|George Halas (S.)||hired as head coach (date approximate)
1933-07-01|Redskins||Lud Wray|replaced as head coach (date approximate)
1933-07-01|Redskins|Lone Star Dietz||hired as head coach (date approximate)
1935-03-01|Steelers|Joe Bach||hired as head coach (date approximate)
1935-06-20|Bears|Harold Grange / Red Grange||hired as assistant coach
1935-07-01|Redskins||Lone Star Dietz|replaced as head coach (date approximate)
1935-07-01|Redskins|Eddie Casey||hired as head coach (date approximate)
1936-07-01|Redskins||Eddie Casey|replaced as head coach (date approximate)
1936-07-01|Redskins|Ray Flaherty||hired as head coach (date approximate)
1937-02-13|Rams|Hugo Bezdek||hired as head coach
1937-03-01|Steelers||Joe Bach|replaced as head coach (date approximate)
1938-10-01|Rams||Hugo Bezdek|fired as head coach (date approximate)
1938-10-01|Rams|Art Lewis||promoted from assistant coach to head coach
1939-03-01|Steelers|Walt Kiesling||hired as head coach (date approximate)
1939-08-01|Rams||Art Lewis|replaced as head coach (date approximate)
1939-08-01|Rams|Earl Clark / Dutch Clark||hired as head coach (date approximate)
1941-01-01|Eagles|Earl Neale / Greasy Neale||hired as head coach (date approximate)
1941-03-01|Steelers|Walt Kiesling||hired as head coach (date approximate)
1942-01-18|Packers|Eddie Kotal||hired as backfield coach
1942-08-01|Rams|Charles Walsh / Chile Walsh||hired as assistant coach
1942-10-25|Bears|Hunk Anderson||hired as interim co-head coach
1942-10-25|Bears|Luke Johnson||hired as interim co-head coach
1943-01-01|Rams||Earl Clark / Dutch Clark|resigned as head coach (date approximate)
1943-01-01|Rams|Charles Walsh / Chile Walsh||promoted from assistant coach to head coach (date approximate)
1943-07-01|Redskins||Ray Flaherty|replaced as head coach (date approximate)
1943-07-01|Redskins|Arthur Bergman / Dutch Bergman||hired as head coach (date approximate)
1944-06-11|Packers|George Trafton||hired as line coach
1944-07-01|Redskins||Arthur Bergman / Dutch Bergman|replaced as head coach (date approximate)
1944-07-01|Redskins|Dud DeGroot||hired as head coach (date approximate)
1944-08-01|Rams|Aldo Donelli / Buff Donelli||hired as head coach (date approximate)
1945-04-07|Steelers|Jim Leonard (a)||hired as head coach (date approximate)
1945-08-01|Rams||Aldo Donelli / Buff Donelli|head coach left for military service (date approximate)
1945-08-01|Rams|Adam Walsh||hired as head coach (date approximate)
1946-01-01|Steelers|Jock Sutherland||hired as head coach (date approximate)
1946-07-01|Redskins||Dud DeGroot|replaced as head coach (date approximate)
1946-07-01|Redskins|A.G. Edwards / Turk Edwards||hired as head coach (date approximate)
1947-01-01|Rams||Adam Walsh|resigned as head coach (date approximate)
1947-01-01|Rams|Bob Snyder||hired as head coach
1947-01-01|Rams|Joe Stydahar||hired as assistant coach (date approximate)
1947-02-10|Colts (AAFC)|Cecil Isbell||hired as head coach
1948-01-26|Rockets (AAFC)|Ed McKeever||hired as head coach, signed to a 3-year, $75K+ contract
1948-04-01|Steelers||Jock Sutherland|head coach died (date approximate)
1948-04-01|Steelers|John Michelosen||hired as head coach (date approximate)
1948-08-01|Rams|Clark Shaughnessy||hired as advisory coach (date approximate)
1948-09-03|Rams||Bob Snyder|resigned as head coach
1948-09-03|Rams|Clark Shaughnessy||promoted from advisory coach to head coach
1949-01-08|Cardinals||Jimmy Conzelman|resigned as head coach
1949-07-01|Redskins||A.G. Edwards / Turk Edwards|replaced as head coach (date approximate)
1949-07-01|Redskins|John Whelchel||hired as head coach (date approximate)
1949-07-01|Redskins|Herman Ball||hired as head coach (date approximate)
1949-10-01|Colts (AAFC)||Cecil Isbell|fired as head coach (date approximate)
1949-10-01|Colts (AAFC)|Walt Driskill||hired as head coach (in addition to president & GM) (date approximate)
1949-11-29|Packers|Earl Lambeau / Curly Lambeau||re-signed as head coach & GM to a 2-year contract extension (date approximate)
1950-01-31|Packers||Earl Lambeau / Curly Lambeau|resigned as head coach & GM (date approximate)
1950-02-01|Cardinals|Earl Lambeau / Curly Lambeau||hired as head coach & VP, signed to a 2-year contract
1950-02-01|Rams|Joe Stydahar||promoted from assistant coach to head coach (date approximate)
1950-02-06|Packers|Gene Ronzani||hired as head coach / VP
1950-02-10|Packers||Bob Snyder|resigned as backfield coach
1950-02-10|Packers||Tom Stidham (a)|resigned as line coach
1950-02-16|Rams||Clark Shaughnessy|fired as head coach (date approximate)
1950-03-01|Colts|Clem Crowe||hired as head coach (date approximate)
1950-04-12|Packers|John Taylor (L.)||hired as assistant coach
1950-04-30|Giants|Ed Kolman||hired as line coach
1950-05-16|Packers|Dick Plasman||hired as end coach
1950-05-16|Packers|Ray Nolting||hired as backfield coach
1950-06-30|Packers|Clark Shaughnessy||hired as assistant coach
1950-07-01|Redskins||John Whelchel|replaced as head coach (date approximate)
1951-01-01|Eagles||Earl Neale / Greasy Neale|replaced as head coach (date approximate)
1951-01-01|Eagles|Alvin McMillan / Bo McMillan||hired as head coach (date approximate)
1951-07-01|Redskins|Dick Todd||hired as head coach (date approximate)
1951-09-01|Eagles||Alvin McMillan / Bo McMillan|resigned as head coach (due to illness) (date approximate)
1951-09-01|Eagles|Wayne Millner||hired as head coach (date approximate)
1952-01-01|Eagles||Wayne Millner|replaced as head coach (date approximate)
1952-01-01|Eagles|Jim Trimble||hired as head coach (date approximate)
1952-03-01|Steelers||John Michelosen|replaced as head coach (date approximate)
1952-03-01|Steelers|Joe Bach||hired as head coach (date approximate)
1952-05-08|Cardinals|Gerry Krall|Garrard Ramsey / Buster Ramsey (assistant coach)|trade with Lions
1952-05-08|Lions|Garrard Ramsey / Buster Ramsey (assistant coach)|Gerry Krall|trade with Cardinals
1952-07-01|Redskins||Dick Todd|replaced as head coach (date approximate)
1952-07-01|Redskins||Herman Ball|replaced as head coach (date approximate)
1952-07-01|Redskins|Earl Lambeau / Curly Lambeau||hired as head coach (date approximate)
1952-09-15|Rams||Joe Stydahar|resigned as head coach (date approximate)
1952-09-15|Rams|Hampton Pool||hired as head coach (date approximate)
1952-09-23|Steelers|Keith Molesworth||hired as quarterbacks coach
1953-01-23|Colts|Keith Molesworth||hired as head coach
1953-12-01|Packers|Hugh Devore||hired as co-head coach
1954-01-01|Packers|Lisle Blackbourn||hired as head coach (date approximate)
1954-01-12|Giants|Ed Kolman||re-signed as line coach
1954-03-01|Colts|Weeb Ewbank||hired as head coach (date approximate)
1954-07-01|Redskins||Earl Lambeau / Curly Lambeau|replaced as head coach (date approximate)
1954-07-01|Redskins|Joe Kuharich||hired as head coach (date approximate)
1955-01-01|Rams||Hampton Pool|resigned as head coach (date approximate)
1955-01-26|Packers|Lou Rymkus||re-signed as line coach to a 1-year contract
1955-01-26|Packers|Ray McLean / Scooter McLean||re-signed as backfield coach to a 1-year contract
1955-01-26|Packers|Tom Hearden||re-signed as defensive coach to a 1-year contract
1955-01-26|Rams|Sid Gillman||hired as head coach
