date|team|acquired|relinquished|notes
1921-11-01|Blueshirts|Reg Noble||hired as player coach
1922-11-01|Blueshirts||Reg Noble|player resigned as coach
1925-10-18|Pirates|Odie Cleghorn||signed free agent as player/coach
1926-10-27|Rangers|Lester Patrick||hired as GM & head coach
1927-04-09|Blackhawks||Pete Muldoon|fired/resigned as manager / head coach (date approximate)
1928-08-27|Blackhawks|Herb Gardiner||named as player/coach
1929-09-23|Maroons|Dunc Munro||hired as player-coach-manager
1934-10-24|Canadiens||Albert Leduc / Albert LeDuc|signed as playing manager/coach of Quebec Beavers (Can-Am) with Canadiens retaining right of recall
1940-10-11||Cecil Thompson / Tiny Thompson||hired as head coach of Buffalo (AHL)
1946-10-01|||Murray Patrick / Muzz Patrick|hired as playing-coach of St. Paul (USHL)
1947-09-24|||Terry Reardon|hired as playing coach of Providence (AHL)
1951-06-18||Clint Smith||hired as coach of Cincinnati (AHL)
1952-09-24|||Buddy O'Connor|hired as player-coach of Cincinnati (IHL)
1952-10-08|||Frank Eddolls / Frankie Eddolls|named player/coach of Buffalo Bisons (AHL)
1954-09-01|Canadiens|Gaye Stewart||named playing coach of Buffalo (AHL)
1961-06-12|||Larry Regan|hired as playing-coach of Pittsburgh (AHL)
1961-06-13|Rangers||Lou Fontinato|sent to Canadiens as compensation for hiring of Doug Harvey as player-coach
1961-06-13|Canadiens|Lou Fontinato||received from Rangers as compensation for hiring of Doug Harvey as player-coach
1964-06-09|Maple Leafs|George Imlach / Punch Imlach||re-signed as head coach and GM to a 3-year contract
1967-06-05|Seals|Gordie Fashoway||hired as assistant coach (date approximate)
1967-06-05|Seals|Bert Olmstead||hired as head coach & GM (date approximate)
1967-06-06|Penguins|George Sullivan / Red Sullivan||hired as head coach
1967-06-08|Kings|Leonard Kelly / Red Kelly||hired as head coach
1968-06-13|Blackhawks|Billy Reay||re-signed as head coach to a contract extension
1968-08-29|Rangers||Larry Popein|named playing-coach of Omaha (CHL)
1969-03-31|Penguins||George Sullivan / Red Sullivan|replaced as head coach
1969-04-06|Maple Leafs|John McLellan||promoted to head coach
1969-07-02|Penguins|Leonard Kelly / Red Kelly||hired as head coach
1969-09-08|Flyers|Turk Broda||signed (coach of Quebec Aces)
1969-12-28|North Stars|Charlie Burns||named player-coach
1970-05-21|Penguins|Leonard Kelly / Red Kelly||promoted to GM (in addition to head coach)
1970-10-10|Blues|Al Arbour||hired as head coach
1971-01-08|Red Wings|Doug Barkley||hired as interim head coach
1971-02-05|Blues||Al Arbour|replaced as head coach
1971-04-20|Seals||Vic Stasiuk|fired as head coach (date approximate)
1971-05-04|Bruins|Tom Johnson||signed as coach
1971-06-02|Flyers|Fred Shero||hired as head coach, signed to a 3-year contract
1971-10-19|Barons (AHL)|Gord Labossiere / Gord Labossierre||hired as AHL assistant coach
1972-01-29|Penguins||Leonard Kelly / Red Kelly|resigned as GM (remained as head coach)
1972-04-27|Raiders (WHA)|Harry Howell||hired as coach, signed to a long-term, $50K/year contract
1972-05-02|Canucks||Hal Laycoe|resigned as head coach
1972-05-02|Canucks|Vic Stasiuk||hired as head coach, signed to a 1-year contract
1972-05-16|Sabres||George Imlach / Punch Imlach|resigned as head coach (remained as GM)
1972-05-22|Flames|Bernie Geoffrion / Boom Boom Geoffrion||hired as head coach
1972-06-05|Flyers|Mike Nykoluk||hired as assistant coach
1972-06-07|Kings|Bob Pulford||hired as head coach, signed to a 2-year contract
1972-06-20|Islanders|Phil Goyette||hired as head coach
1972-06-20|Oilers (WHA)|Ray Kinasewich||hired as head coach
1972-06-29|Blazers (WHA)|Dave Creighton||hired as GM and assistant coach
1972-07-06|Cougars (WHA)|Marcel Pronovost||hired as head coach, signed to a 2-year contract
1972-07-27|Nordiques (WHA)|Maurice Richard / Rocket Richard||hired as coach
1972-08-18|Golden Seals|Garry Young||hired as coach and GM
1972-10-27|Nordiques (WHA)||Maurice Richard / Rocket Richard|resigned as coach
1972-10-27|Nordiques (WHA)|Maurice Filion||hired as coach
1972-11-08|Blues||Al Arbour|fired as head coach
1972-11-09|Blues|Jean-Guy Talbot||hired as head coach
1973-01-13|Penguins||Leonard Kelly / Red Kelly|replaced as head coach
1973-01-13|Penguins|Ken Schinkel||hired as head coach
1973-01-29|Islanders||Phil Goyette|fired as head coach
1973-01-29|Islanders|Autry Erickson / Aut Erickson||promoted to interim co-head coach
1973-01-29|Islanders|Earl Ingarfield Sr.||hired as interim co-head coach
1973-04-17|Maple Leafs||John McLellan|retired as head coach
1973-05-23|Flyers|Mike Nykoluk||re-signed as assistant coach to a contract extension through 1976 season
1973-05-23|Flyers|Fred Shero||re-signed as head coach to a 3-year contract extension through 1976 season
1973-06-10|Islanders|Al Arbour||hired as head coach
1973-06-13|Canucks||Vic Stasiuk|fired as head coach
1973-06-13|Canucks|Bill McCreary Sr. / Billy McCreary Sr.||hired as head coach
1973-07-24|Cougars (WHA)|Pat Stapleton||signed (from Blackhawks) to a 5-year, reported $1M contract as player-coach
1973-08-21|Crusaders (WHA)|Bill Needham||re-signed as coach to a contract extension
1973-11-07|Red Wings|Alex Delvecchio||hired as head coach
1973-12-01|Sharks (WHA)|Ted McCaskill||hired as interim head coach (date approximate)
1974-01-12|Canucks||Bill McCreary Sr. / Billy McCreary Sr.|fired as head coach
1974-01-12|Canucks|Phil Maloney||hired as head coach
1974-02-06|Penguins||Ken Schinkel|replaced as head coach
1974-02-06|Penguins|Marc Boileau||hired as head coach
1974-02-16|Golden Seals||Fred Glover|resigned as head coach
1974-02-16|Golden Seals|Marshall Johnston||hired as head coach
1974-07-01|Canucks|Phil Maloney||promoted to GM (in addition to head coach) (date approximate)
1974-07-22|Flyers|Fred Shero||signed as head coach to a 3-year contract
1974-08-22|Flyers|Barry Ashbee||hired as scout & assistant coach
1974-09-06|Red Wings|Denis DeJordy||hired as goaltending coach
1975-02-11|Capitals||Jimmy Anderson|replaced as head coach
1975-02-11|Capitals|George Sullivan / Red Sullivan||hired as head coach
1975-03-22|Capitals||George Sullivan / Red Sullivan|replaced as head coach
1975-03-22|Capitals|Milt Schmidt||hired as head coach
1975-06-30|Red Wings||Alex Delvecchio|replaced as head coach (remained as GM)
1975-06-30|Red Wings|Doug Barkley||hired as head coach
1975-07-09|Islanders|Terry Gray||hired as CHL head coach
1975-07-29|Penguins|Marc Boileau||hired as head coach
1975-12-31|Capitals||Milt Schmidt|replaced as head coach
1975-12-31|Capitals|Tom McVie / Tommy McVie||hired as head coach
1976-01-17|Penguins||Marc Boileau|replaced as head coach
1976-01-17|Penguins|Ken Schinkel||hired as head coach
1976-07-07|Flyers|John Hanna||hired as minor league coach
1976-08-31|Rockies|John Wilson (a)||hired as head coach
1976-10-04|Flyers|Terry Crisp||hired as temporary minor league coach
1976-12-01|Whalers|Don Blackburn||hired as head coach (date approximate)
1976-12-20|Canucks||Phil Maloney|resigned as head coach (remained as GM)
1976-12-20|Canucks|Orland Kurtenbach||hired as head coach
1977-04-23|Stingers (WHA)||Terry Slater|fired as coach
1977-05-19|Penguins||Ken Schinkel|replaced as head coach
1977-05-27|Sabres||Floyd Smith|fired as head coach
1977-06-13|Penguins|Johnny Wilson||hired as head coach
1977-06-16|Red Wings|Bobby Kromm||hired as head coach
1977-06-16|Stingers (WHA)|Jacques Demers||hired as head coach
1977-07-01|Kings||Bob Pulford|replaced as head coach (date approximate)
1977-09-11|Canucks|Arnie Brown||hired as assistant coach
1977-09-14|Capitals|Tom McVie / Tommy McVie||re-signed as head coach to a long-term contract
1977-11-24|North Stars||Ted Harris|fired as head coach
1977-11-24|North Stars|Andre Beaulieu||promoted to head coach
1978-04-12|Canucks||Orland Kurtenbach|fired as head coach
1978-04-12|Canucks||Arnie Brown|fired as assistant coach
1978-05-27|Canucks|Harry Neale||hired as head coach
1978-06-02|Flyers|1978 first round pick (#7-Ken Linseman)|right to hire head coach Fred Shero|trade with Rangers
1978-06-02|Rangers|right to hire head coach Fred Shero|1978 first round pick (#7-Ken Linseman)|trade with Flyers
1978-06-03|Blues|Barclay Plager||re-signed as head coach to a 1-year contract
1978-06-03|Canadiens|William Bowman / Scotty Bowman||signed as head coach to a 2-year contract
1978-07-01|Canucks||Orland Kurtenbach|fired as head coach (date approximate)
1978-07-05|North Stars|Harry Howell||hired as head coach
1978-07-25|Racers (WHA)|Pat Stapleton||signed as head coach and GM to a 1-year contract
1978-09-05|Racers (WHA)|Bill Neal||hired as director of operations and assistant coach
