slug,coach,coach_id,ending,total_games,total_wins,total_losses,start_rating,end_rating,improvement,top,bottom,middle,last_improvement
krugelo99c|00|02|ATL,Lon Kruger,krugelo99c,fired,191.0,69.0,122.0,1354.0496,1424.825,70.7754,1498.4465,1323.6061,1378.7457,-12.1864
stottte99c|02|04|ATL,Terry Stotts,stottte99c,fired,137.0,52.0,85.0,1431.2126,1404.5249,-26.6877,1454.663,1351.4229,1405.3073,-45.4351
woodsmi01c|04|10|ATL,Mike Woodson,woodsmi01c,fired,493.0,206.0,287.0,1416.4968,1625.6738,209.177,1625.6738,1201.6516,1411.4112,113.4293
drewla01c|10|13|ATL,Larry Drew,drewla01c,fired,230.0,128.0,102.0,1577.6614,1481.6061,-96.0553,1608.431,1434.7014,1535.0348,-51.1603
budenmi99c|13|17|ATL,Mike Budenholzer,budenmi99c,,356.0,195.0,161.0,1479.5092,1372.67132552,-106.83787448,1701.1826,1372.67132552,1520.06540695,-122.96906108
pitinri99c|00|01|BOS,Rick Pitino,pitinri99c,resigned,34.0,12.0,22.0,1509.4957,1372.3759,-137.1198,1512.2125,1372.3759,1459.2376,-137.1198
obrieji99c|01|04|BOS,Jim O'Brien,obrieji99c,resigned,258.0,139.0,119.0,1368.3331,1460.3439,92.0108,1583.9977,1368.0797,1498.51575,-28.9168
carrojo99c|04|04|BOS,John Carroll,carrojo99c,interim only,36.0,14.0,22.0,1455.3578,1436.0353,-19.3225,1476.1962,1394.7057,1438.9231,-19.3225
riverdo01c|04|13|BOS,Doc Rivers,riverdo01c,traded,721.0,416.0,305.0,1428.2878,1476.7135,48.4257,1759.5787,1315.4176,1555.0391,-109.3986
stevebr99c|13|17|BOS,Brad Stevens,stevebr99c,,358.0,190.0,168.0,1479.785,1610.40299717,130.61799717,1638.87069063,1324.3323,1527.20228041,80.07236226
bickebe99c|04|07|CHARBH,Bernie Bickerstaff,bickebe99c,resigned,246.0,77.0,169.0,1291.4047,1453.3801,161.9754,1460.2728,1249.2513,1352.2937,51.2853
vincesa01c|07|08|CHARBH,Sam Vincent,vincesa01c,fired,82.0,32.0,50.0,1468.5905,1448.1293,-20.4612,1475.364,1361.703,1417.98075,-20.4612
brownla01c|08|10|CHARBH,Larry Brown,brownla01c,resigned,192.0,88.0,104.0,1455.7322,1413.6558,-42.0764,1565.4674,1399.3179,1479.40885,-103.5059
silaspa01c|10|12|CHARBH,Paul Silas,silaspa01c,fired,120.0,32.0,88.0,1417.8059,1151.7163,-266.0896,1478.6658,1151.7163,1395.04655,-274.3224
dunlami99c|12|13|CHARBH,Mike Dunlap,dunlami99c,fired,82.0,21.0,61.0,1247.7948,1301.5607,53.7659,1301.5607,1216.9727,1260.7163,53.7659
cliffst99c|13|17|CHARBH,Steve Clifford,cliffst99c,,355.0,170.0,185.0,1349.5021,1447.03536143,97.53326143,1585.31446601,1346.3245,1478.6188,-17.84336031
floydti99c|00|01|CHI,Tim Floyd,floydti99c,resigned,107.0,19.0,88.0,1316.6208,1275.3021,-41.3187,1316.6208,1217.8412,1272.5103,-30.5185
berrybi99c|01|01|CHI,Bill Berry,berrybi99c,interim only,2.0,0.0,2.0,1267.452,1266.0724,-1.3796,1267.452,1266.0724,1266.7622,-1.3796
cartwbi01c|01|03|CHI,Bill Cartwright,cartwbi01c,fired,151.0,51.0,100.0,1287.0028,1369.0933,82.0905,1403.8654,1248.4794,1350.351,-26.5285
myerspe01c|03|03|CHI,Pete Myers,myerspe01c,interim only,2.0,0.0,2.0,1365.7639,1364.3323,-1.4316,1365.7639,1364.3323,1365.0481,-1.4316
skilesc01c|03|07|CHI,Scott Skiles,skilesc01c,fired,337.0,165.0,172.0,1376.5052,1488.9171,112.4119,1629.861,1311.1244,1504.3684,-103.6476
myerspe01c|07|07|CHI,Pete Myers,myerspe01c,interim only,1.0,0.0,1.0,1485.0935,1485.0935,0.0,1485.0935,1485.0935,1485.0935,0.0
boylaji99c|07|08|CHI,Jim Boylan,boylaji99c,interim only,56.0,24.0,32.0,1487.7196,1431.8398,-55.8798,1505.9056,1409.0687,1461.5282,-55.8798
delnevi01c|08|10|CHI,Vinny Del Negro,delnevi01c,fired,164.0,82.0,82.0,1454.8381,1497.7133,42.8752,1544.4406,1394.5201,1468.44415,-29.879
thiboto99c|10|15|CHI,Tom Thibodeau,thiboto99c,fired,394.0,255.0,139.0,1486.006,1583.3149,97.3089,1712.2321,1461.2953,1567.7587,11.1546
hoibefr99c|15|17|CHI,Fred Hoiberg,hoibefr99c,,191.0,90.0,101.0,1573.94410811,1423.69812146,-150.24598665,1587.19087993,1368.27010733,1484.8673477,-64.58716729
wittmra01c|00|01|CLE,Randy Wittman,wittmra01c,fired,82.0,30.0,52.0,1443.5634,1375.1858,-68.3776,1499.5048,1331.0291,1442.5051,-68.3776
lucasjo01c|01|03|CLE,John Lucas,lucasjo01c,fired,124.0,37.0,87.0,1389.6302,1299.1831,-90.4471,1451.7966,1299.1831,1383.30865,-123.2466
smartke01c|03|03|CLE,Keith Smart,smartke01c,interim only,40.0,9.0,31.0,1291.7473,1284.4954,-7.2519,1295.291,1226.9785,1273.4794,-7.2519
silaspa01c|03|05|CLE,Paul Silas,silaspa01c,fired,146.0,69.0,77.0,1337.8445,1465.1541,127.3096,1537.0018,1323.4045,1430.8451,20.0503
malonbr99c|05|05|CLE,Brendan Malone,malonbr99c,interim only,18.0,8.0,10.0,1482.4008,1461.7094,-20.6914,1482.4008,1436.2607,1455.9409,-20.6914
brownmi99c|05|10|CLE,Mike Brown,brownmi99c,fired,410.0,272.0,138.0,1480.5029,1701.4937,220.9908,1762.7637,1470.3197,1565.9216,31.928
scottby01c|10|13|CLE,Byron Scott,scottby01c,fired,230.0,64.0,166.0,1617.5342,1324.0431,-293.4911,1617.5342,1266.4852,1354.10465,-33.4717
brownmi99c|13|14|CLE,Mike Brown,brownmi99c,fired,82.0,33.0,49.0,1377.5465,1449.9618,72.4153,1468.439,1330.8328,1374.9582,72.4153
blattda99c|14|16|CLE,David Blatt,blattda99c,fired,123.0,83.0,40.0,1455.226,1669.30270511,214.07670511,1682.34676828,1431.6313,1610.2965,28.39841322
