coach_id|coach_name|fromyear|toyear|iscurrent
adelmri01c|Rick Adelman|1989|2014|
adubari99c|Richie Adubato|1980|1997|
aingeda01c|Danny Ainge|1997|2000|
albecst99c|Stan Albeck|1971|1986|
anderla99c|LaDell Andersen|1972|1973|
ankerja99c|Jack Ankerson|1976|1976|
armstcu01c|Curly Armstrong|1949|1949|
atkinke01c|Kenny Atkinson|2017|2018|y
attleal01c|Al Attles|1970|1983|
auerbre99c|Red Auerbach|1947|1966|
ayersra99c|Randy Ayers|2004|2004|
bachjo01c|Johnny Bach|1980|1986|
badgeed99c|Ed Badger|1977|1978|
barkecl99c|Cliff Barker|1950|1951|
baronto99c|Tony Barone|2007|2007|
barrito99c|Tom Barrise|2010|2010|
bassbo99c|Bob Bass|1968|1992|
bayloel01c|Elgin Baylor|1975|1979|
beardbu01c|Butch Beard|1995|1996|
beatyze01c|Zelmo Beaty|1976|1976|
beecl99c|Clair Bee|1953|1954|
belmojo99c|Joe Belmont|1970|1971|
benneca99c|Carl Bennett|1949|1949|
berrybi99c|Bill Berry|2002|2002|
bertkbi99c|Bill Bertka|1994|1999|
biancal01c|Al Bianchi|1968|1976|
bickebe99c|Bernie Bickerstaff|1986|2013|
bickejb01c|J.B. Bickerstaff|2016|2018|y
binstma99c|Mark Binstein|1972|1972|
birchpa99c|Paul Birch|1947|1954|
birdla01c|Larry Bird|1998|2000|
blairbi99c|Bill Blair|1983|1996|
blakebi99c|Bill Blakeley|1971|1971|
blattda99c|David Blatt|2015|2016|
blitmha99c|Harold Blitman|1970|1971|
borreja99c|James Borrego|2015|2015|
borylvi01c|Vince Boryla|1956|1958|
bowerje99c|Jeff Bower|2010|2010|
boylaji99c|Jim Boylan|2008|2013|
braunca01c|Carl Braun|1960|1961|
brighal01c|Al Brightman|1968|1968|
bristal01c|Allan Bristow|1992|1996|
brooksc01c|Scott Brooks|2009|2018|y
broveji99c|Jim Brovelli|1999|1999|
brownbr99c|Brett Brown|2014|2018|y
brownda99c|Dave Brown|1973|1973|
brownhe99c|Herb Brown|1976|1978|
brownhu99c|Hubie Brown|1975|2005|
brownla01c|Larry Brown|1973|2011|
brownmi99c|Mike Brown|2006|2014|
brownto01c|Tony Brown|2016|2016|
brownph99c|Philip Brownstein|1949|1950|
bucknqu01c|Quinn Buckner|1994|1994|
buckwbu99c|Bucky Buckwalter|1973|1975|
budenmi99c|Mike Budenholzer|2014|2018|y
budkowa01c|Walt Budko|1951|1951|
butchdo01c|Donnie Butcher|1967|1969|
bzdelje99c|Jeff Bzdelik|2003|2005|
calipjo99c|John Calipari|1997|1999|
calvima01c|Mack Calvin|1976|1992|
canalka99c|Kaleb Canales|2012|2012|
carlepj99c|P.J. Carlesimo|1995|2013|
carliri01c|Rick Carlisle|2002|2018|y
carnelo99c|Lou Carnesecca|1971|1973|
carrml01c|M.L. Carr|1996|1997|
carrojo99c|John Carroll|2004|2004|
cartebu01c|Butch Carter|1998|2000|
cartefr01c|Fred Carter|1993|1994|
cartwbi01c|Bill Cartwright|2002|2004|
caseybo99c|Don Casey|1989|2000|
caseydw99c|Dwane Casey|2006|2018|y
castejo99c|John Castellani|1960|1960|
cazzevi99c|Vince Cazzetta|1968|1968|
cervial01c|Al Cervi|1950|1959|
chambwi01c|Wilt Chamberlain|1974|1974|
chanedo01c|Don Chaney|1985|2004|
cheekma01c|Maurice Cheeks|2002|2014|
clarkjo99c|John Clark|1970|1970|
cleamji01c|Jim Cleamons|1997|1998|
cliffro99c|Roy Clifford|1947|1947|
cliffst99c|Steve Clifford|2014|2018|y
cohalne99c|Neil Cohalan|1947|1947|
colanje99c|Jerry Colangelo|1970|1973|
collido01c|Doug Collins|1987|2013|
coopemi01c|Michael Cooper|2005|2005|
corbity01c|Tyrone Corbin|2011|2015|
costela01c|Larry Costello|1969|1979|
cousybo01c|Bob Cousy|1970|1974|
cowenda01c|Dave Cowens|1979|2002|
cunnibi01c|Billy Cunningham|1978|1985|
