coach.id,name,franchises,poc,former.nba.player
adelmri01c,Rick Adelman,"HOU, MIN, SAC",no,yes
aingeda01c,Danny Ainge,PHO,,
atkinke01c,Kenny Atkinson,NJN,no,no
ayersra99c,Randy Ayers,PHI,yes,no
baronto99c,Tony Barone,MEM,no,no
barrito99c,Tom Barrise,NJN,no,no
beilejo99c,John Beilein,CLE,,
berrybi99c,Bill Berry,CHI,yes,no
bickebe99c,Bernie Bickerstaff,"CHA, LAL",yes,no
bickejb01c,J.B. Bickerstaff,"CLE, HOU, MEM",yes,no
birdla01c,Larry Bird,IND,,
blattda99c,David Blatt,CLE,no,no
borreja99c,James Borrego,"CHA, ORL",yes,no
bowerje99c,Jeff Bower,NOH,no,no
boylaji99c,Jim Boylan,"CHI, MIL",no,no
boyleji02c,Jim Boylen,CHI,,
brooksc01c,Scott Brooks,"OKC, WAS",no,yes
brownbr99c,Brett Brown,PHI,no,no
brownhu99c,Hubie Brown,MEM,no,no
brownla01c,Larry Brown,"CHA, DET, NYK, PHI",no,yes
brownmi99c,Mike Brown,"CLE, CLE, LAL",yes,no
brownto01c,Tony Brown,NJN,yes,yes
budenmi99c,Mike Budenholzer,"ATL, MIL",no,no
bzdelje99c,Jeff Bzdelik,DEN,no,no
canalka99c,Kaleb Canales,POR,yes,no
carlepj99c,P.J. Carlesimo,"NJN, GSW, OKC",no,no
carliri01c,Rick Carlisle,"DAL, DET, IND",no,yes
carrojo99c,John Carroll,BOS,no,no
cartebu01c,Butch Carter,TOR,,
cartwbi01c,Bill Cartwright,CHI,yes,yes
caseybo99c,Don Casey,NJN,,
caseydw99c,Dwane Casey,"DET, MIN, TOR",yes,no
chanedo01c,Don Chaney,NYK,yes,yes
cheekma01c,Maurice Cheeks,"DET, PHI, POR",yes,yes
cliffst99c,Steve Clifford,"CHA, ORL",no,no
collido01c,Doug Collins,"PHI, WAS",no,yes
coopemi01c,Michael Cooper,DEN,yes,yes
corbity01c,Tyrone Corbin,"SAC, UTA",yes,yes
cowenda01c,Dave Cowens,GSW,no,yes
currymi01c,Michael Curry,DET,yes,yes
dantomi01c,Mike D'Antoni,"HOU, LAL, NYK, PHO",no,yes
davisjo01c,Johnny Davis,"MEM, ORL",yes,yes
delnevi01c,Vinny Del Negro,"CHI, LAC",no,yes
dileoto99c,Tony DiLeo,PHI,no,no
donovbi99c,Billy Donovan,OKC,no,yes
drewla01c,Larry Drew,"ATL, CLE, MIL",yes,yes
dunlami99c,Mike Dunlap,CHA,no,no
dunlemi01c,Mike Dunleavy,"LAC, POR",no,yes
evansmi01c,Mike Evans,DEN,yes,yes
fishede01c,Derek Fisher,NYK,yes,yes
fizdada01c,David Fizdale,"MEM, NYK",yes,no
floydti99c,Tim Floyd,"CHI, NOH",no,no
fordch01c,Chris Ford,"LAC, PHI",no,yes
frankla99c,Lawrence Frank,"NJN, DET",no,no
fratemi99c,Mike Fratello,MEM,no,no
gentral99c,Alvin Gentry,"DET, LAC, NOH, PHO",yes,no
hamblfr99c,Frank Hamblen,LAL,no,no
hamille99c,Leonard Hamilton,WAS,yes,no
heardga01c,Gar Heard,WAS,,
hillbo99c,Bob Hill,OKC,no,no
hillbr99c,Brian Hill,"MEM, ORL",no,no
hoibefr99c,Fred Hoiberg,CHI,no,yes
hollili01c,Lionel Hollins,"NJN, MEM, MEM, MEM",yes,yes
hornaje01c,Jeff Hornacek,"NYK, PHO",no,yes
hugheki01c,Kim Hughes,LAC,no,yes
hunteli01c,Lindsey Hunter,PHO,yes,yes
huntme01c,Melvin Hunt,DEN,yes,no
iavarma01c,Marc Iavaroni,MEM,no,yes
irvinge01c,George Irvine,DET,no,yes
isselda01c,Dan Issel,DEN,no,yes
jacksma01c,Mark Jackson,GSW,yes,yes
jacksph01c,Phil Jackson,"LAL, LAL",no,yes
jenkita01c,Taylor Jenkins,MEM,,
jentch01c,Chris Jent,ORL,no,yes
joergda99c,Dave Joerger,"MEM, SAC",no,no
johnsav01c,Avery Johnson,"NJN, DAL",yes,yes
johnsde01c,Dennis Johnson,LAC,yes,yes
johnsfr01c,Frank Johnson,PHO,yes,yes
jordaed01c,Eddie Jordan,"PHI, WAS",yes,yes
karlge01c,George Karl,"DEN, MIL, SAC",no,yes
kerrst01c,Steve Kerr,GSW,no,yes
kiddja01c,Jason Kidd,"NJN, MIL",yes,yes
